Index	Author	MemberID	First/Last Author	Authors	Title	Citation	Year	PMID	Tumor Type(s)
18	Fearon, Douglas	6	L	Dranoff G, Fearon D.	Tumour immunology.	Curr Opin Immunol. 2013 Apr;25(2):189-91. 	2013	23510648	Any
19	Siepel, Adam	24		Danko, C. G. and Hah, N. and Luo, X. and Martins, A. L. and Core, L. and Lis, J. T. and Siepel, A. and Kraus, W. L. 	Signaling pathways differentially affect RNA polymerase II initiation, pausing, and elongation rate in cells. 	Mol Cell, 50(2) pp. 212-22.	2013	23523369	Any
20	Egeblad, Mikala	4	L	Fein, M. R. and Egeblad, M. 	Caught in the act: revealing the metastatic process by live imaging. 	Disease Models and Mechanisms, 6(3) pp. 580-93.	2013	23616077	Any
21	Budman, Daniel;Barginear, Myra	62;143	F/L	Barginear MF, Budman DR.	Integrating molecular biology into clinical practice.	J Clin Oncol. 2013 Jun 10;31(17):2222. 	2013	23650426	Any
22	Tuveson, David;Egeblad, Mikala	31;4		Chin, L. and De Sauvage, F. and Egeblad, M. and Olive, K. P. and Tuveson, D. and Weiss, W. 	Recapitulating human cancer in a mouse.	Nature Biotechnology, 31(5) pp. 392-395.	2013	23657389	Any
23	Potters, Louis	75		Seung SK, Larson DA, Galvin JM, Mehta MP, Potters L, Schultz CJ, Yajnik SV, Hartford AC, Rosenthal SA.	American College of Radiology (ACR) and American Society for Radiation Oncology (ASTRO) Practice Guideline for the Performance of Stereotactic Radiosurgery (SRS).	Am J Clin Oncol. 2013 Jun;36(3):310-5. 	2013	23681017	Any
24	Hannon, Gregory	10	L	Siolas, D. and Hannon, G. J. 	Patient-derived tumor xenografts: Transforming clinical samples into mouse models. 	Cancer Research, 73(17) pp. 5315-5319.	2013	23733750	Any
25	Kessel, Rachel	132	F	Kessel RM, Roth M, Moody K, Levy A.	Day One Talk: parent preferences when learning that their child has cancer.	Support Care Cancer. 2013 Nov;21(11):2977-82. 	2013	23760458	Any
26	McCombie, W. Richard	19		Kamalakaran S, Varadan V, Janevski A, Banerjee N, Tuck D, McCombie WR, Dimitrova N, Harris LN.	Translating next generation sequencing to practice: opportunities and necessary steps.	Mol Oncol. 2013 Aug;7(4):743-55. 	2013	23769412	Any
27	Zheng, Hongwu	36		Zhang, Y. and Shin, S. J. and Liu, D. and Ivanova, E. and Foerster, F. and Ying, H. and Zheng, H. and Xiao, Y. and Chen, Z. and Protopopov, A. and Depinho, R. A. and Paik, J. H.	ZNF365 Promotes Stability of Fragile * Sites and Telomeres. 	Cancer Discovery, 3(7) pp. 798-811.	2013	23776040	Any
28	Allen, Steven	60	L	Frame JN, Jacobson JO, Vogel WH, Griffith N, Wariabharaj D, Garg R, Zon R, Stephens CL, Bialecki AM, Bruinooge SS, Allen SL.	Assessment of risk evaluation and mitigation strategies in oncology: summary of the oncology risk evaluation and mitigation strategies workshop.	J Oncol Pract. 2013 Mar;9(2):e24-39.	2013	23814522	Any
29	Boockvar, John Andrew	189	L	Ottenhausen M, Bodhinayake I, Boockvar JA.	The only way out is in: a deeper understanding of anti-VEGF therapy escape mechanisms offers possibilities for more effective antiangiogenic treatment.	Neurosurgery. 2013 Dec;73(6):N9. 	2013	24257344	Any
30	Potters, Louis	75	L	Kapur A, Goode G, Riehl C, Zuvic P, Joseph S, Adair N, Interrante M, Bloom B, Lee L, Sharma R, Sharma A, Antone J, Riegel A, Vijeh L, Zhang H, Cao Y, Morgenstern C, Montchal E, Cox B, Potters L.	Incident Learning and Failure-Mode-and-Effects-Analysis Guided Safety Initiatives in Radiation Medicine.	Front Oncol. 2013 Dec 16;3:305. 	2013	24380074	Any
31	Potters, Louis	75	L	Kapur A, Potters L.	Six sigma tools for a patient safety-oriented, quality-checklist driven radiation medicine department.	Pract Radiat Oncol. 2012 Apr-Jun;2(2):86-96.	2012	24674084	Any
32	Potters, Louis	75	L	Vichare A, Eads N, Punglia R, Potters L.	American Society for Radiation Oncology's Performance Assessment for the Advancement of Radiation Oncology Treatment: A practical approach for informing practice improvement.	Pract Radiat Oncol. 2013 Apr-Jun;3(2):e37-43.	2013	24674319	Any
33	Krainer, Adrian R.	14	L	Das, S. and Krainer, A. R. 	Emerging functions of SRSF1, splicing factor and oncoprotein, in RNA metabolism and cancer. 	Molecular Cancer Research, 12(9) pp. 1195-1204.	2015	24807918	Any
34	Vakoc, Christopher	32	L	Hohmann, A. F. and Vakoc, C. R. 	A rationale to target the SWI/SNF complex for cancer therapy. 	Trends in Genetics, 30(8) pp. 356-363.	2014	24932742	Any
35	Tuveson, David	31	L	Chandel, N. S. and Tuveson, D. A. 	The Promise and Perils of Antioxidants for Cancer Patients. 	New England Journal of Medicine, 371(2) pp. 177-178.	2014	25006725	Any
36	Egeblad, Mikala	4	L	Ewald, A. J. and Egeblad, M. 	Cancer: Sugar-coated cell signalling. 	Nature, 511(7509) pp. 298-9.	2014	25030162	Any
37	Krasnitz, Alexander	15	L	Kendall, J. and Krasnitz, A. 	Computational methods for DNA copy-number analysis of tumors. 	Methods in Molecular Biology, 1176 pp. 243-59.	2014	25030933	Any
38	Tuveson, David	31	L	Ohlund, D. and Elyada, E. and Tuveson, D. 	Fibroblast heterogeneity in the cancer wound. 	Journal of Experimental Medicine, 211(8) pp. 1503-23.	2014	25071162	Any
39	Teckie, Sewit	182	F	Teckie S, McCloskey SA, Steinberg ML.	Value: a framework for radiation oncology.	J Clin Oncol. 2014 Sep 10;32(26):2864-70. 	2014	25113759	Any
40	Tonks, Nicholas;Pappin, Darryl;Hannon, Gregory	29;21;10	L	Yang, M. and Haase, A. D. and Huang, F. K. and Coulis, G. and Rivera, K. D. and Dickinson, B. C. and Chang, C. J. and Pappin, D. J. and Neubert, T. A. and Hannon, G. J. and Boivin, B. and Tonks, N. K. 	Dephosphorylation of Tyrosine 393 in Argonaute 2 by Protein Tyrosine Phosphatase 1B Regulates Gene Silencing in Oncogenic RAS-Induced Senescence. 	Mol Cell, 55(5) pp. 782-790.	2014	25175024	Any
41	Tuveson, David	31	L	Corbo, V. and Ponz-Sarvise, M. and Tuveson, D. A. 	The RAS and YAP1 dance, who is leading?. 	EMBO journal, 33(21) pp. 3437-2438.	2014	25257311	Any
42	Mills, Alea A.	20	L	Li, Wanhe and Mills, Alea A. 	Architects of the genome: CHD dysfunction in cancer, developmental disorders and neurological syndromes. 	Epigenomics, 6(4) pp. 381-95.	2014	25333848	Any
43	Fearon, Douglas	6		Galluzzi L, Vacchelli E, Bravo-San Pedro JM, Buqué A, Senovilla L, Baracco EE, Bloy N, Castoldi F, Abastado JP, Agostinis P, Apte RN, Aranda F, Ayyoub M, Beckhove P, Blay JY, Bracci L, Caignard A, Castelli C, Cavallo F, Celis E, Cerundolo V, Clayton A, Colombo MP, Coussens L, Dhodapkar MV, Eggermont AM, Fearon DT, Fridman WH, Fučíková J, Gabrilovich DI, Galon J, Garg A, Ghiringhelli F, Giaccone G, Gilboa E, Gnjatic S, Hoos A, Hosmalin A, Jäger D, Kalinski P, Kärre K, Kepp O, Kiessling R, Kirkwood JM, Klein E, Knuth A, Lewis CE, Liblau R, Lotze MT, Lugli E, Mach JP, Mattei F, Mavilio D, Melero I, Melief CJ, Mittendorf EA, Moretta L, Odunsi A, Okada H, Palucka AK, Peter ME, Pienta KJ, Porgador A, Prendergast GC, Rabinovich GA, Restifo NP, Rizvi N, Sautès-Fridman C, Schreiber H, Seliger B, Shiku H, Silva-Santos B, Smyth MJ, Speiser DE, Spisek R, Srivastava PK, Talmadge JE, Tartour E, Van Der Burg SH, Van Den Eynde BJ, Vile R, Wagner H, Weber JS, Whiteside TL, Wolchok JD, Zitvogel L, Zou W, Kroemer G.	Classification of current anticancer immunotherapies.	Oncotarget. 2014 Dec 30;5(24):12472-508.	2014	25537519	Any
44	Fearon, Douglas	6	L	Joyce JA, Fearon DT.	T cell exclusion, immune privilege, and the tumor microenvironment.	Science. 2015 Apr 3;348(6230):74-80. 	2015	25838376	Any
45	Krainer, Adrian R.	14	F	Krainer, A. 	Pre-mRNA Splicing Mechanisms, Misregulation in Disease, and Therapeutic Strategies.	Blood (ASH Annual Meeting Abstracts) 2012 120: Abstract 13	2012	http://abstracts.hematologylibrary.org/cgi/content/abstract/120/21/SCI-13	Any
46	Wigler, Michael;Schatz, Michael;Atwal, Gurinder	34;23;1	L	Garvin, Tyler and Aboukhalil, Robert and Kendall, Jude and Baslan, Timour and Atwal, Gurinder S and Hicks, James and Wigler, Michael and Schatz, Michael 	Interactive analysis and quality assessment of single-cell copy-number variations. 	doi: http://dx.doi.org/10.1101/011346	2014	http://biorxiv.org/content/early/2014/11/12/011346	Any
47	Atwal, Gurinder	1	L	Ying, Cai and Fendler, B. and Atwal, G. S. 	Utilizing RNA-Seq data for cancer network inference.	2012 IEEE International Workshop on Genomic Signal Processing and Statistics, (GENSIPS), pp. 46-49.	2012	http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=6507723	Any
48	Egeblad, Mikala	4	L	Nakasone, E. and Askautrud, H. and Kees, T. and Park, J. and Fein, M. and Egeblad, M. 	Imaging contributions of the microenvironment to chemoresistance. 	Journal of Nuclear Medicine, 54(Supple) pp. 31-31.	2013	http://jnm.snmjournals.org/content/54/Supplement_1/3A	Any
49	Knisely, Jonathan	175		Kondziolka D, Parry PV, Lunsford LD, Kano H, Flickinger JC, Rakfal S, Arai Y, Loeffler JS, Rush S, Knisely JP, Sheehan J, Friedman W, Tarhini AA, Francis L, Lieberman F, Ahluwalia MS, Linskey ME, McDermott M, Sperduto P, Stupp R.	The accuracy of predicting survival in individual patients with cancer.	J Neurosurg. 2014 Jan;120(1):24-30. 	2014	24160479	Any;Brain;Mets
50	Symons, Marc	83		Korkina O, Dong Z, Marullo A, Warshaw G, Symons M, Ruggieri R.	The MLK-related kinase (MRK) is a novel RhoC effector that mediates lysophosphatidic acid (LPA)-stimulated tumor cell invasion.	J Biol Chem. 2013 Feb 22;288(8):5364-73.	2013	23319595	Any;Ovary;Mets
51	Richstone, Lee	192		Hellenthal NJ, Hussain A, Andrews PE, Carpentier P, Castle E, Dasgupta P, Kaouk J, Khan S, Kibel A, Kim H, Manoharan M, Menon M, Mottrie A, Ornstein D, Palou J, Peabody J, Pruthi R, Richstone L, Schanne F, Stricker H, Thomas R, Wiklund P, Wilding G, Guru KA.	Lymphadenectomy at the time of robot-assisted radical cystectomy: results from the International Robotic Cystectomy Consortium.	BJU Int. 2011 Feb;107(4):642-6.	2011	20575975	Bladder
52	Kavoussi, Louis;Vira, Manish;Richstone, Lee	184;192;66	L	Blute ML Jr, George A, Herati A, Srinivasian A, Vira MA, Kavoussi LR, Richstone L.	Intracorporeal neobladder reconstruction: pressure-flow urodyamic studies in cadaveric orthotopic neobladders.	BJU Int. 2012 Feb;109(3):434-6. 	2012	21981411	Bladder
53	Vira, Manish	184		Covey TM, Vira MA, Westfall M, Gulrajani M, Cholankeril M, Okhunov Z, Levey HR, Marimpietri C, Hawtin R, Fields SZ, Cesano A.	Single cell network profiling assay in bladder cancer.	Cytometry A. 2013 Apr;83(4):386-95. 	2013	23300058	Bladder
54	Richstone, Lee	192		Marshall SJ, Hayn MH, Stegemann AP, Agarwal PK, Badani KK, Balbay MD, Dasgupta P, Hemal AK, Hollenbeck BK, Kibel AS, Menon M, Mottrie A, Nepple K, Pattaras JG, Peabody JO, Poulakis V, Pruthi RS, Palou Redorta J, Rha KH, Richstone L, Schanne F, Scherr DS, Siemer S, Stöckle M, Wallen EM, Weizer AZ, Wiklund P, Wilson T, Woods M, Guru KA.	Impact of surgeon and volume on extended lymphadenectomy at the time of robot-assisted radical cystectomy: results from the International Robotic Cystectomy Consortium (IRCC).	BJU Int. 2013 Jun;111(7):1075-80. 	2013	23442001	Bladder
55	Richstone, Lee	192		Ahmed K, Khan SA, Hayn MH, Agarwal PK, Badani KK, Balbay MD, Castle EP, Dasgupta P, Ghavamian R, Guru KA, Hemal AK, Hollenbeck BK, Kibel AS, Menon M, Mottrie A, Nepple K, Pattaras JG, Peabody JO, Poulakis V, Pruthi RS, Redorta JP, Rha KH, Richstone L, Saar M, Scherr DS, Siemer S, Stoeckle M, Wallen EM, Weizer AZ, Wiklund P, Wilson T, Woods M, Khan MS.	Analysis of intracorporeal compared with extracorporeal urinary diversion after robot-assisted radical cystectomy: results from the International Robotic Cystectomy Consortium.	Eur Urol. 2014 Feb;65(2):340-7. 	2014	24183419	Bladder
56	Richstone, Lee	192		Al-Daghmin A, Kauffman EC, Shi Y, Badani K, Balbay MD, Canda E, Dasgupta P, Ghavamian R, Grubb R 3rd, Hemal A, Kaouk J, Kibel AS, Maatman T, Menon M, Mottrie A, Nepple K, Pattaras JG, Peabody JO, Poulakis V, Pruthi R, Palou Redorta J, Rha KH, Richstone L, Schanne F, Scherr DS, Siemer S, Stöckle M, Wallen EM, Weizer A, Wiklund P, Wilson T, Wilding G, Woods M, Guru KA.	Efficacy of robot-assisted radical cystectomy (RARC) in advanced bladder cancer: results from the International Radical Cystectomy Consortium (IRCC).	BJU Int. 2014 Jul;114(1):98-103. 	2014	24219170	Bladder
57	Boockvar, John Andrew	189	L	Fatoo A, Nanaszko MJ, Allen BB, Mok CL, Bukanova EN, Beyene R, Moliterno JA, Boockvar JA.	Understanding the role of tumor stem cells in glioblastoma multiforme: a review article.	J Neurooncol. 2011 Jul;103(3):397-408.	2011	20853017	Brain
58	Demopoulos, Alexis	186		Nghiemphu PL, Wen PY, Lamborn KR, Drappatz J, Robins HI, Fink K, Malkin MG, Lieberman FS, DeAngelis LM, Torres-Trejo A, Chang SM, Abrey L, Fine HA, Demopoulos A, Lassman AB, Kesari S, Mehta MP, Prados MD, Cloughesy TF;North American Brain Tumor Consortium.	A phase I trial of tipifarnib with radiation therapy, with and without temozolomide, for patients with newly diagnosed glioblastoma.	Int J Radiat Oncol Biol Phys. 2011 Dec 1;81(5):1422-7. 	2011	20934264	Brain
59	Schulder, Michael	77	F	Schulder M, Spiro D.	Intraoperative MRI for stereotactic biopsy.	Acta Neurochir Suppl. 2011;109:81-7. 	2011	20960325	Brain
60	Boockvar, John Andrew	189	F	Boockvar JA, Tsiouris AJ, Hofstetter CP, Kovanlikaya I, Fralin S, Kesavabhotla K, Seedial SM, Pannullo SC, Schwartz TH, Stieg P, Zimmerman RD, Knopman J, Scheff RJ, Christos P, Vallabhajosula S, Riina HA.	Safety and maximum tolerated dose of superselective intraarterial cerebral infusion of bevacizumab after osmotic blood-brain barrier disruption for recurrent malignant glioma. Clinical article.	J Neurosurg. 2011 Mar;114(3):624-32. 	2011	20964595	Brain
61	Schulder, Michael	77	L	Quinn J, Spiro D, Schulder M.	Stereotactic brain biopsy with a low-field intraoperative magnetic resonance imager.	Neurosurgery. 2011 Mar;68(1 Suppl Operative):217-24;discussion 224.	2011	21206306	Brain
62	Knisely, Jonathan	175	F	Knisely JP, Yu JB.	Hippocampal-sparing whole-brain radiotherapy: a 'how-to' technique using helical tomotherapy and linear accelerator-based intensity-modulated radiotherapy: in regard to Gondi v, et al. (Int j radiat oncol biol phys 2010;78:1244-1252).	Int J Radiat Oncol Biol Phys. 2011 Mar 1;79(3):957-8;author reply 958. 	2011	21281899	Brain
63	Boockvar, John Andrew	189	L	Gürsel DB, Beyene RT, Hofstetter C, Greenfield JP, Souweidane MM, Kaplitt M, Arango-Lievano M, Howard B, Boockvar JA.	Optimization of glioblastoma multiforme stem cell isolation, transfection, and transduction.	J Neurooncol. 2011 Sep;104(2):509-22. 	2011	21336775	Brain
64	Odaimi, Marcel	148	L	Vivekanandarajah A, Krishnarasa B, Mourad M, Aoun N, Odaimi M.	Achievement of three year remission with bevacizumab and irinotecan in recurrent glioblastoma multiforme: a case report.	Clin Med Insights Oncol. 2011 Feb 14;5:15-21.	2011	21499558	Brain
65	Demopoulos, Alexis	186	L	Nandipati S, Demopoulos A.	Leptomeningeal dissemination of anaplastic glioma: prolonged survival in two patients treated with temozolomide.	J Neurooncol. 2011 Dec;105(3):663-5. 	2011	21626072	Brain
66	Boockvar, John Andrew	189	L	Burkhardt JK, Shin BJ, Boockvar JA.	Neural stem cells and glioma stem-like cells respond differently to chemotherapeutic drugs: selectivity at the cellular level.	Neurosurgery. 2011 Jun;68(6):N21-2.	2011	21778947	Brain
67	Boockvar, John Andrew	189	L	Gürsel DB, Shin BJ, Burkhardt JK, Kesavabhotla K, Schlaff CD, Boockvar JA.	Glioblastoma stem-like cells-biology and therapeutic implications.	Cancers (Basel). 2011 Jun 10;3(2):2655-66. 	2011	21796273	Brain
68	Li, Jian Yi	70	L	Rishi A, Black KS, Woldenberg RW, Overby CM, Eisenberg MB, Li JY.	Microcystic meningioma presenting as a cystic lesion with an enhancing mural nodule in elderly women: report of three cases.	Brain Tumor Pathol. 2011 Oct;28(4):335-9. 	2011	21863303	Brain
69	Li, Jian Yi	70	F	Li JY, Langford LA, Adesina A, Bodhireddy SR, Wang M, Fuller GN.	The high mitotic count detected by phospho-histone H3 immunostain does not alter the benign behavior of angiocentric glioma.	Brain Tumor Pathol. 2012 Jan;29(1):68-72. 	2012	21892765	Brain
70	Boockvar, John Andrew	189	L	Shin B, Burkhardt JK, Boockvar J.	Glioblastoma multiforme stem-like cells and hypoxia: the novel role of HAF.	Neurosurgery. 2011 Oct;69(4):N21. 	2011	21900808	Brain
71	Acharya, Suchitra	131		Zhai H, Acharya S, Gravanis I, Mehmood S, Seidman RJ, Shroyer KR, Hajjar KA, Tsirka SE.	Annexin A2 promotes glioma cell invasion and tumor progression.	J Neurosci. 2011 Oct 5;31(40):14346-60. 	2011	21976520	Brain
72	Boockvar, John Andrew	189	L	Burkhardt JK, Shin BJ, Schlaff CD, Riina H, Boockvar JA.	Cost analysis of intra-arterial versus intra-venous delivery of bevacizumab for the treatment of recurrent glioblastoma multiforme.	J Exp Ther Oncol. 2011;9(3):183-6.	2011	22070049	Brain
73	Li, Jian Yi;Schulder, Michael;Symons, Marc;Demopoulos, Alexis	83;77;70;186	L	Song X, Andrew Allen R, Terence Dunn S, Fung KM, Farmer P, Gandhi S, Ranjan T, Demopoulos A, Symons M, Schulder M, Li JY.	Glioblastoma with PNET-like components has a higher frequency of isocitrate dehydrogenase 1 (IDH1) mutation and likely a better prognosis than primary glioblastoma.	Int J Clin Exp Pathol. 2011;4(7):651-60. 	2011	22076165	Brain
74	Boockvar, John Andrew	189	L	Gürsel DB, Berry N, Boockvar JA.	The contribution of Notch signaling to glioblastoma via activation of cancer stem cell self-renewal: the role of the endothelial network.	Neurosurgery. 2012 Feb;70(2):N19-21.	2012	22251985	Brain
75	Boockvar, John Andrew	189	L	Hofstetter CP, Burkhardt JK, Shin BJ, Gürsel DB, Mubita L, Gorrepati R, Brennan C, Holland EC, Boockvar JA.	Protein phosphatase 2A mediates dormancy of glioblastoma multiforme-derived tumor stem-like cells during hypoxia.	PLoS One. 2012;7(1):e30059. 	2012	22253878	Brain
76	Li, Jian Yi;Schulder, Michael;Demopoulos, Alexis	77;70;186	L	Thaler PB, Li JY, Isakov Y, Black KS, Schulder M, Demopoulos A.	Normal or non-diagnostic neuroimaging studies prior to the detection of malignant primary brain tumors.	J Clin Neurosci. 2012 Mar;19(3):411-4.	2012	22277560	Brain
77	Symons, Marc	83		Coniglio SJ, Eugenin E, Dobrenis K, Stanley ER, West BL, Symons MH, Segall JE.	Microglial stimulation of glioblastoma invasion involves epidermal growth factor receptor (EGFR) and colony stimulating factor 1 receptor (CSF-1R) signaling.	Mol Med. 2012 May 9;18:519-27.	2012	22294205	Brain
78	Goenka, Anuj			Turcan S, Rohle D, Goenka A, Walsh LA, Fang F, Yilmaz E, Campos C, Fabius AW, Lu C, Ward PS, Thompson CB, Kaufman A, Guryanova O, Levine R, Heguy A, Viale A, Morris LG, Huse JT, Mellinghoff IK, Chan TA.	IDH1 mutation is sufficient to establish the glioma hypermethylator phenotype.	Nature. 2012 Feb 15;483(7390):479-83. 	2012	22343889	Brain
79	Boockvar, John Andrew	189	L	Burkhardt JK, Riina H, Shin BJ, Christos P, Kesavabhotla K, Hofstetter CP, Tsiouris AJ, Boockvar JA.	Intra-arterial delivery of bevacizumab after blood-brain barrier disruption for the treatment of recurrent glioblastoma: progression-free survival and overall survival.	World Neurosurg. 2012 Jan;77(1):130-4. 	2012	22405392	Brain
80	Boockvar, John Andrew	189	L	Berry N, Gursel DB, Boockvar JA.	Notch inhibition via micro-RNA blocks glioma development.	Neurosurgery. 2012 Apr;70(4):N20-2. 	2012	22426058	Brain
81	Boockvar, John Andrew	189	L	Shin BJ, Burkhardt JK, Riina HA, Boockvar JA.	Superselective intra-arterial cerebral infusion of novel agents after blood-brain disruption for the treatment of recurrent glioblastoma multiforme: a technical case series.	Neurosurg Clin N Am. 2012 Apr;23(2):323-9, ix-x. 	2012	22440875	Brain
82	Symons, Marc	83		Vanan I, Dong Z, Tosti E, Warshaw G, Symons M, Ruggieri R.	Role of a DNA damage checkpoint pathway in ionizing radiation-induced glioblastoma cell migration and invasion.	Cell Mol Neurobiol. 2012 Oct;32(7):1199-208. 	2012	22552889	Brain
83	Symons, Marc	83		Fortin SP, Ennis MJ, Schumacher CA, Zylstra-Diegel CR, Williams BO, Ross JT, Winkles JA, Loftus JC, Symons MH, Tran NL.	Cdc42 and the guanine nucleotide exchange factors Ect2 and trio mediate Fn14-induced migration and invasion of glioblastoma cells.	Mol Cancer Res. 2012 Jul;10(7):958-68. 	2012	22571869	Brain
84	Boockvar, John Andrew	189	L	Gursel DB, Berry N, Boockvar JA.	Therapeutic stem cells encapsulated in a synthetic extracellular matrix selectively kill tumor cells, delay tumor growth, and increase survival in a mouse resection model of malignant glioma.	Neurosurgery. 2012 Jun;70(6):N17-9. 	2012	22596007	Brain
