Serial Number	Project Title	Tumor Type(s)	Administering  IC	Application ID	Project Number	Type	Activity	IC	Support Year	Suffix	Subproject Number 	Contact PI  Person ID	Contact PI / Project Leader	PI Trim	MemberID	Other PI or Project Leader(s)	Organization Name	ARRA Indicator	FY	FY Total Cost 	FY Total Cost  (Sub Projects)	FY Total
97947	2011 CSHL YEAST CELL BIOLOGY CONFERENCE		NIGMS	8664890	5R13GM097947-04	5	R13	GM	4			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2014	1		1
97947	2011 CSHL YEAST CELL BIOLOGY CONFERENCE		NIGMS	8470664	5R13GM097947-03	5	R13	GM	3			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2013	5000		5000
97947	2011 CSHL YEAST CELL BIOLOGY CONFERENCE		NIGMS	8266444	5R13GM097947-02	5	R13	GM	2			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2012	1		1
97947	2011 CSHL YEAST CELL BIOLOGY CONFERENCE		NIGMS	8122810	1R13GM097947-01	1	R13	GM	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	5000		5000
159756	2011 EUKARYOTIC DNA REPLICATION & GENOME MAINTENANCE		NCI	8125533	1R13CA159756-01	1	R13	CA	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	6500		6500
159737	2011 EUKARYOTIC MRNA PROCESSING CONFERENCE		NCI	8128076	1R13CA159737-01	1	R13	CA	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	4000		4000
97935	2011 SYMPOSIUM CONFERENCE: METABOLISM & DISEASE		NIGMS	8119289	1R13GM097935-01	1	R13	GM	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	28000		28000
100675	2012 CSHL AUTOMATED IMAGING & HIGH-THROUGHPUT PHENOTYPING CONFERENCE		NIGMS	8256871	1R13GM100675-01	1	R13	GM	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2012	5000		5000
100393	2012 CSHL BACTERIA & PHAGES CONFERENCE		NIAID	8315184	1R13AI100393-01	1	R13	AI	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2012	6000		6000
82042	2012 CSHL NEURODEGENERATIVE DISEASES CONFERENCE		NINDS	8458763	1R13NS082042-01	1	R13	NS	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2012	23000		23000
79074	2012 CSHL NEURONAL CIRCUITS CONFERENCE		NINDS	8318464	1R13NS079074-01	1	R13	NS	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2012	15000		15000
97883	2012 CSHL NUCLEAR RECEPTORS & DISEASE CONFERENCE		NIDDK	8452937	1R13DK097883-01	1	R13	DK	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2012	20025		20025
42312	2012 CSHL PTEN PATHWAYS AND TARGETS CONFERENCE		NIA	8435568	3R13AG042312-01S1	3	R13	AG	1	S1		7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2012	3000		3000
42312	2012 CSHL PTEN PATHWAYS AND TARGETS CONFERENCE		NIA	8256883	1R13AG042312-01	1	R13	AG	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	7500		7500
100330	2012 CSHL RETROVIRUSES CONFERENCE		NIAID	8788491	5R13AI100330-04	5	R13	AI	4			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2015	36645		36645
100330	2012 CSHL RETROVIRUSES CONFERENCE		NIAID	8610239	5R13AI100330-03	5	R13	AI	3			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2014	36645		36645
100330	2012 CSHL RETROVIRUSES CONFERENCE		NIAID	8443378	5R13AI100330-02	5	R13	AI	2			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2013	36645		36645
100330	2012 CSHL RETROVIRUSES CONFERENCE		NIAID	8311402	1R13AI100330-01	1	R13	AI	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2012	36645		36645
3676	2013 CSHL BIOLOGY OF GENOMES CONFERENCE		NHGRI	8821642	5R13HG003676-11	5	R13	HG	11			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2015	54600		54600
3676	2013 CSHL BIOLOGY OF GENOMES CONFERENCE		NHGRI	8633049	5R13HG003676-10	5	R13	HG	10			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2014	54600		54600
3676	2013 CSHL BIOLOGY OF GENOMES CONFERENCE		NHGRI	8458436	2R13HG003676-09	2	R13	HG	9			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2013	54600		54600
101224	2014 CSHL CONFERENCE ON THE PARP FAMILY AND FRIENDS: GENE REGULATION AND BEYOND		NIDDK	8651074	1R13DK101224-01	1	R13	DK	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2014	5000		5000
80274	3/3-IMPROVING METABOLIC PARAMETERS OF ANTIPSYCHOTIC CHILD TREATMENT (IMPACT)		NIMH	8328704	5R01MH080274-05	5	R01	MH	5			8134676	CORRELL, CHRISTOPH U	CORRELL, CHRISTOPH U		Not Applicable	Feinstein Institute	 	2012	322106		322106
80274	3/3-IMPROVING METABOLIC PARAMETERS OF ANTIPSYCHOTIC CHILD TREATMENT (IMPACT)		NIMH	8114045	5R01MH080274-04	5	R01	MH	4			8134676	CORRELL, CHRISTOPH U	CORRELL, CHRISTOPH U		Not Applicable	Feinstein Institute	 	2011	271161		271161
80274	3/3-IMPROVING METABOLIC PARAMETERS OF ANTIPSYCHOTIC CHILD TREATMENT (IMPACT)		NIMH	7870321	5R01MH080274-03	5	R01	MH	3			8134676	CORRELL, CHRISTOPH U	CORRELL, CHRISTOPH U		Not Applicable	Feinstein Institute	 	2010	1		1
81857	4/8- PREDICTORS & MECHANISMS OF CONVERSION TO PSYCHOSIS		NIMH	8793633	3U01MH081857-05S2	3	U01	MH	5	S2		1887254	CORNBLATT, BARBARA A.	CORNBLATT, BARBARA A.		Not Applicable	Feinstein Institute	 	2014	172261		395080
81857	4/8- PREDICTORS & MECHANISMS OF CONVERSION TO PSYCHOSIS		NIMH	8669453	3U01MH081857-05S1	3	U01	MH	5	S1		1887254	CORNBLATT, BARBARA A.	CORNBLATT, BARBARA A.		Not Applicable	Feinstein Institute	 	2013	61800		415000
81857	4/8- PREDICTORS & MECHANISMS OF CONVERSION TO PSYCHOSIS		NIMH	8259182	5U01MH081857-05	5	U01	MH	5			1887254	CORNBLATT, BARBARA A.	CORNBLATT, BARBARA A.		Not Applicable	Feinstein Institute	 	2012	680857		415000
81857	4/8- PREDICTORS & MECHANISMS OF CONVERSION TO PSYCHOSIS		NIMH	8413646	3U01MH081857-04S1	3	U01	MH	4	S1		1887254	CORNBLATT, BARBARA A.	CORNBLATT, BARBARA A.		Not Applicable	Feinstein Institute	 	2012	103500		26119
81857	4/8- PREDICTORS & MECHANISMS OF CONVERSION TO PSYCHOSIS		NIMH	8066006	5U01MH081857-04	5	U01	MH	4			1887254	CORNBLATT, BARBARA A.	CORNBLATT, BARBARA A.		Not Applicable	Feinstein Institute	 	2011	723660		207500
81857	4/8- PREDICTORS & MECHANISMS OF CONVERSION TO PSYCHOSIS		NIMH	7849917	5U01MH081857-03	5	U01	MH	3			1887254	CORNBLATT, BARBARA A.	CORNBLATT, BARBARA A.		Not Applicable	Feinstein Institute	 	2010	743673		313556
86123	4/8-PROLONGING REMISSION IN DEPRESSED ELDERLY (PRIDE)		NIMH	8459514	5U01MH086123-05	5	U01	MH	5			3151495	PETRIDES, GEORGIOS 	PETRIDES, GEORGIOS		Not Applicable	Feinstein Institute	 	2013	262961		262961
86123	4/8-PROLONGING REMISSION IN DEPRESSED ELDERLY (PRIDE)		NIMH	8535879	3U01MH086123-04S2	3	U01	MH	4	S2		3151495	PETRIDES, GEORGIOS 	PETRIDES, GEORGIOS		Not Applicable	Feinstein Institute	 	2012	33054		33054
86123	4/8-PROLONGING REMISSION IN DEPRESSED ELDERLY (PRIDE)		NIMH	8496612	3U01MH086123-04S1	3	U01	MH	4	S1		3151495	PETRIDES, GEORGIOS 	PETRIDES, GEORGIOS		Not Applicable	Feinstein Institute	 	2012	204454		204454
86123	4/8-PROLONGING REMISSION IN DEPRESSED ELDERLY (PRIDE)		NIMH	8240508	5U01MH086123-04	5	U01	MH	4			3151495	PETRIDES, GEORGIOS 	PETRIDES, GEORGIOS		Not Applicable	Feinstein Institute	 	2012	240701		240701
86123	4/8-PROLONGING REMISSION IN DEPRESSED ELDERLY (PRIDE)		NIMH	8054858	5U01MH086123-03	5	U01	MH	3			3151495	PETRIDES, GEORGIOS 	PETRIDES, GEORGIOS		Not Applicable	Feinstein Institute	 	2011	240701		240701
86123	4/8-PROLONGING REMISSION IN DEPRESSED ELDERLY (PRIDE)		NIMH	7901038	5U01MH086123-02	5	U01	MH	2			3151495	PETRIDES, GEORGIOS 	PETRIDES, GEORGIOS		Not Applicable	Feinstein Institute	 	2010	243132		243132
81857	4/9-PREDICTORS AND MECHANISMS OF CONVERSION TO PSYCHOSIS		NIMH	8881582	2U01MH081857-06A1	2	U01	MH	6	A1		1887254	CORNBLATT, BARBARA A.	CORNBLATT, BARBARA A.		Not Applicable	Feinstein Institute	 	2014	510225		406700
8894	A DECOY RECEPTOR AS A NOVEL BIOMARKER FOR AUTOIMMUNE INNER EAR DISEASE		NIDCD	7821271	5R21DC008894-02	5	R21	DC	2			2091231	VAMBUTAS, ANDREA 	VAMBUTAS, ANDREA		Not Applicable	Feinstein Institute	YES	2010	166000		166000
35612	A LIGHT-REGULATED PROTEIN TAGGING METHOD TO STUDY LOCAL TRANSLATION IN NEURONS		NIDA	8623127	5R21DA035612-02	5	R21	DA	2			1924153	HANNON, GREGORY J 	HANNON, GREGORY J	10	ELLIS-DAVIES, GRAHAM 	Cold Spring Harbor	 	2014	220956		220956
35612	A LIGHT-REGULATED PROTEIN TAGGING METHOD TO STUDY LOCAL TRANSLATION IN NEURONS		NIDA	8534507	1R21DA035612-01	1	R21	DA	1			1924153	HANNON, GREGORY J 	HANNON, GREGORY J	10	ELLIS-DAVIES, GRAHAM 	Cold Spring Harbor	 	2013	243206		243206
74075	A MOLECULAR VIEW OF TRANSCRIPTIONAL ACTIVATION AND REPRESSION	Any	NIGMS	8039385	3R01GM074075-04S1	3	R01	GM	4	S1		1883884	JOSHUA-TOR, LEEMOR 	JOSHUA-TOR, LEEMOR	12	Not Applicable	Cold Spring Harbor	 	2010	105597		105597
22102	A MOUSE MODEL OF TAU PATHOLOGY IN AD & OTHER DEMENTIAS		NIA	8235830	5R37AG022102-10	5	R37	AG	10			1894355	DAVIES, PETER P	DAVIES, PETER P		Not Applicable	Feinstein Institute	 	2012	323826		323826
22102	A MOUSE MODEL OF TAU PATHOLOGY IN AD & OTHER DEMENTIAS		NIA	8055389	5R37AG022102-09	5	R37	AG	9			1894355	DAVIES, PETER P	DAVIES, PETER P		Not Applicable	Feinstein Institute	 	2011	323826		323826
22102	A MOUSE MODEL OF TAU PATHOLOGY IN AD & OTHER DEMENTIAS		NIA	7795167	5R37AG022102-08	5	R37	AG	8			1894355	DAVIES, PETER P	DAVIES, PETER P		Not Applicable	Feinstein Institute	 	2010	336897		336897
22102	A MOUSE MODEL OF TAU PATHOLOGY IN AD AND OTHER DEMENTIAS		NIA	8744261	5R01AG022102-12	5	R01	AG	12			1894355	DAVIES, PETER P	DAVIES, PETER P		Not Applicable	Feinstein Institute	 	2014	345425		345425
22102	A MOUSE MODEL OF TAU PATHOLOGY IN AD AND OTHER DEMENTIAS		NIA	8635108	2R01AG022102-11A1	2	R01	AG	11	A1		1894355	DAVIES, PETER P	DAVIES, PETER P		Not Applicable	Feinstein Institute	 	2013	345425		345425
83490	A MULTI-MODAL MRI/PET STUDY OF PARKINSONISM: DIAGNOSIS AND DISEASE PROGRESSION		NINDS	8729627	5R01NS083490-02	5	R01	NS	2			11038468	MA, YILONG 	MA, YILONG		Not Applicable	Feinstein Institute	 	2014	195977		195977
83490	A MULTI-MODAL MRI/PET STUDY OF PARKINSONISM: DIAGNOSIS AND DISEASE PROGRESSION		NINDS	8547527	1R01NS083490-01	1	R01	NS	1			11038468	MA, YILONG 	MA, YILONG		Not Applicable	Feinstein Institute	 	2013	200000		200000
18535	A MULTICENTERED RANDOMIZED STUDY OF CELEBREX (CELECOXIB)	Cervix	NCRR	8167251	5M01RR018535-08	5	M01	RR	8		7110	1869266	STEINBERG, BETTIE M.	STEINBERG, BETTIE M.	82	Not Applicable	Feinstein Institute	 	2010		11869	11869
99268	A NOVEL POLICE-MENTAL HEALTH LINKAGE SYSTEM TO PROMOTE PRE-BOOKING JAIL DIVERSION		NIMH	8737314	5R34MH099268-03	5	R34	MH	3			7110511	COMPTON, MICHAEL T	COMPTON, MICHAEL T		Not Applicable	Feinstein Institute	 	2014	334275		334917
99268	A NOVEL POLICE-MENTAL HEALTH LINKAGE SYSTEM TO PROMOTE PRE-BOOKING JAIL DIVERSION		NIMH	8795525	7R34MH099268-02	7	R34	MH	2			7110511	COMPTON, MICHAEL T	COMPTON, MICHAEL T		Not Applicable	Feinstein Institute	 	2013	243975		345425
11827	A PHASE I CLINICAL TRIAL OF ANAKINRA FOR STEROID-RESISTANT AIED		NIDCD	8685938	5R33DC011827-04	5	R33	DC	4			2091231	VAMBUTAS, ANDREA 	VAMBUTAS, ANDREA		Not Applicable	Feinstein Institute	 	2014	498834		498834
11827	A PHASE I CLINICAL TRIAL OF ANAKINRA FOR STEROID-RESISTANT AIED		NIDCD	8518175	5R33DC011827-03	5	R33	DC	3			2091231	VAMBUTAS, ANDREA 	VAMBUTAS, ANDREA		Not Applicable	Feinstein Institute	 	2013	473810		473810
11827	A PHASE I CLINICAL TRIAL OF ANAKINRA FOR STEROID-RESISTANT AIED		NIDCD	8499519	4R33DC011827-02	4	R33	DC	2			2091231	VAMBUTAS, ANDREA 	VAMBUTAS, ANDREA		Not Applicable	Feinstein Institute	 	2012	491565		491565
11827	A PHASE I CLINICAL TRIAL OF ANAKINRA FOR STEROID-RESISTANT AIED		NIDCD	8179855	1R21DC011827-01	1	R21	DC	1			2091231	VAMBUTAS, ANDREA 	VAMBUTAS, ANDREA		Not Applicable	Feinstein Institute	 	2011	249000		249000
101307	A TRIAL OF 'OPENING DOORS TO RECOVERY' FOR PERSONS WITH SERIOUS MENTAL ILLNESSES		NIMH	8867286	5R01MH101307-02	5	R01	MH	2			7110511	COMPTON, MICHAEL T	COMPTON, MICHAEL T		Not Applicable	Feinstein Institute	 	2015	585836		46062
101307	A TRIAL OF 'OPENING DOORS TO RECOVERY' FOR PERSONS WITH SERIOUS MENTAL ILLNESSES		NIMH	8696071	1R01MH101307-01A1	1	R01	MH	1	A1		7110511	COMPTON, MICHAEL T	COMPTON, MICHAEL T		Not Applicable	Feinstein Institute	 	2014	620086		336897
79571	A VITAL TOOL FOR THE STUDY OF DBA:THE DIAMOND BLACKFAN ANEMIA REGISTRY	Leukemia;Sarcoma;Bone	NHLBI	8604725	5R01HL079571-10	5	R01	HL	10			1916843	LIPTON, JEFFREY M	LIPTON, JEFFREY M	71	Not Applicable	Feinstein Institute	 	2014	402633		402633
79571	A VITAL TOOL FOR THE STUDY OF DBA:THE DIAMOND BLACKFAN ANEMIA REGISTRY	Leukemia;Sarcoma;Bone	NHLBI	8402592	5R01HL079571-09	5	R01	HL	9			1916843	LIPTON, JEFFREY M	LIPTON, JEFFREY M	71	Not Applicable	Feinstein Institute	 	2013	391129		391129
