MemberID	Full.Name	Last	First	Column1	PubList	GrantList	TrialList	Institute	TumorType
141	Qun Dai	Dai	Qun	x	116;202;332;486;534;1280;1297				Prostate; Breast; Lung; Endometrius; Kidney; Cerivx;Leukemia;Lymphoma;Breast
142	Terenig Terjanian	Terjanian	Terenig	x	183;515;569;1142;1515				Breast;Lymphoma
143	Myra Frances Barginear	Barginear	Myra Frances	x	19;471;733;742;915;1086;1119			NSLIJ - Web	Sarcoma;Any;Breast; Lung; Brain; Prostate; Colorectal; Liver; Pancreas; Head & Neck; Kidney; Stomach
144	Amy Sharma	Sharma	Amy	o				NSLIJ - Web	Leukemia
145	Xinhua Zhu	Zhu	Xinhua	o				NSLIJ - Web	Prostate
146	Dana Shani	Shani	Dana	o					
147	Nagashree Seetharamu	Seetharamu	Nagashree	o					
148	Marcel Odaimi	Odaimi	Marcel	x	149;241;640;1259;1295;1649				Brain;Leukemia;Lymphoma
149	Meekoo Dhar	Dhar	Meekoo	x	12;146;151;558			NSLIJ - Web	Kidney;Breast
150	Philip Louis Friscia	Friscia	Philip Louis	x	177				Head & Neck
151	Matthew T. Hurford	Hurford	Matthew T.	x	1297				Leukemia
152	Judith Paula Brody	Brody	Judith Paula	x	173;834;938;1183;1252				Leukemia;Lymphoma
153	Alan Stuart Kadison	Kadison	Alan Stuart	o					
154	Peihong Hsu	Hsu	Peihong	x	1183;1184;1252				Lymphoma
155	Xinmin Zhang	Zhang	Xinmin	x	702;834;938;986;1183;1252;1643;1651				Lymphoma;Leukemia;Breast; Lung; Head & Neck; Cervix; Esophageal; Colorectal; Lymphoma; Prostate; Leukemia
156	Richard Allen Lipton	Lipton	Richard Allen	o					
157	Stephanie Falcone Bernik	Bernik	Stephanie Falcone	o					
158	Mansoor H. Beg	Beg	Mansoor H.	x	1254				Melanoma; Mets
159	Joph Steckel	Steckel	Joph	o					
160	Reed Ellis Phillips	Phillips	Reed Ellis	o					
161	John Lawrence Ricci	Ricci	John Lawrence	o					
162	Charles Carmine Conte	Conte	Charles Carmine	o					
163	Antonio I. Picon	Picon	Antonio I.	x	772;1008;1350				Breast
164	Lawrence C. Wolfe	Wolfe	Lawrence C.	x	1065;1265				
165	Silvat Waseem Sheikh-Fayyaz	Sheikh-Fayyaz	Silvat Waseem	x	467;1252				Kidney;Lymphoma
166	Alyssa Yurovitsky	Yurovitsky	Alyssa	x	1582				
167	Andrew William Menzin	Menzin	Andrew William	x	1341;1656				Ovary
168	Mitchell Maiman	Maiman	Mitchell	x	342				Cervix
169	Frank Forte	Forte	Frank	x	12;151;177;247;515;690;896				Kidney;Head & Neck
170	James Eng Louie	Louie	James Eng	x	1328				
171	Tianyu Yang	Yang	Tianyu	x	1252				Lymphoma
172	Aparna Hima Kolli	Kolli	Aparna Hima	o					
173	Shafinaz Rahayu Hussein	Hussein	Shafinaz Rahayu	x	267;1044;1073;1155;1416;1514				Leukemia;Lymphoma
174	Randy Levine	Levine	Randy	x	419;846				
175	Jonathan Petrus Sandberg Knisely	Knisely	Jonathan Petrus Sandberg	x	81;148;184;265;308;317;379;396;429;563;567;598;599;696;810;839;907;1097;1121;1580;1620			NSLIJ - Web	Brain; Breast; Mets;Prostate; Cervix; Melanoma;CNS;Breast; Brain;Any;Mets; Spine
176	Jeannine Ann Villella	Villella	Jeannine Ann	x	505;1115;1319				Ovary;Endometrius
177	Jill Suzanne Whyte	Whyte	Jill Suzanne	x	1353				Ovary
178	Antoinette Sakaris	Sakaris	Antoinette	o					
179	Lisa Ann Dos Santos	Dos Santos	Lisa Ann	x	78				Sarcoma
180	Karin Kuan-Hui Shih	Shih	Karin Kuan-Hui	x	109;171;728;732;766;1577;1583				Ovary;Cervix;Endometrius; Endometrius;Sarcoma
181	Nisha Bansal	Bansal	Nisha	o					
182	Sewit Teckie	Teckie	Sewit	x	821;841;992;1392;1422;1566;1606				Ovary; Brain; Mets;Head & Neck;Lymphoma;Any;CNS
183	Elizabeth Anne Marshall	Marshall	Elizabeth Anne	x	979				
184	Manish Arvind Vira	Vira	Manish Arvind	x	24;166;261;264;290;295;463;526;604;621;707;775;1141;1164;1325			NSLIJ - Web;NSLIJ - NCI	Kidney;Bladder;Ureteral;Prostate
185	James Dennis Sullivan	Sullivan	James Dennis	x	1254;1584				Melanoma; Mets;Colorectal
186	Alexis Matthew Demopoulos	Demopoulos	Alexis Matthew	x	32;181;302;327;414;702;1287;1299				Brain;Lymphoma
187	Raza Mohammed Zaidi	Zaidi	Raza Mohammed	o					
188	David E. Bernstein	Bernstein	David E.	x	622;852;853;1120;1261				
189	John Andrew Boockvar	Boockvar	John Andrew	x	14;28;35;100;140;213;219;260;296;324;325;403;404;469;477;478;483;499;530;531;603;634;642;643;658;660;729;825;828;857;889;928;1037;1084;1118;1163;1223;1224;1243;1263;1279;1306;1367;1387;1445;1536;1587			NSLIJ - Web	CNS; Brain;Brain;Cervix;Any;Brian; Mets;Head & Neck
190	Daniel Joel Javit	Javit	Daniel Joel	x	560				
191	Michael Jonathan Schwartz	Schwartz	Michael Jonathan	x	166;491;716;996;1464				Kidney
192	Lee Richstone	Richstone	Lee	x	16;23;24;26;30;46;62;107;166;196;290;297;493;496;497;518;597;601;620;716;747;763;807;822;831;844;859;982;988;996;1058;1066;1100;1112;1177;1391;1464				Bladder;Kidney; Bladder
193	Kenar Dinesh Jhaveri	Jhaveri	Kenar Dinesh	x	38;99;118;137;191;192;221;239;398;406;459;466;485;502;547;578;579;657;664;736;762;788;793;802;824;927;939;976;980;1020;1060;1070;1144;1150;1158;1165;1166;1188;1212;1220;1221;1258;1378;1436;1481;1567;1568				Kidney;Leukemia; Lymphoma
194	Amit Garg	Garg	Amit	x	538;711;1022;1073;1311;1312;1313;1314;1317;1494				Lymphoma
195	Robert S. Waldbaum	Waldbaum	Robert S.	o					
196	Omid Rofeim	Rofeim	Omid	o					
197	Justin Shinyu Han	Han	Justin Shinyu	x	245;278;866;1228;1286;1504;1505;1518;1573;1608				Prostate;Kidney
198	Neil Tanna	Tanna	Neil	x	61;88;112;251;333;367;368;442;443;460;461;575;695;725;739;759;770;798;892;904;913;935;965;968;1006;1054;1068;1069;1107;1218;1248;1323;1490;1509;1574;1653;1654				Head & Neck; Fibroma;Breast
199	Nicholas Bastidas	Bastidas	Nicholas	x	63;174				
200	Zeph Okeke	Okeke	Zeph	x	172;180;233;250;361;374;439;455;495;639;716;865;867;955;972;997;1059;1067;1200;1281;1293;1300;1333;1388;1399;1426;1466;1487;1563;1572				Kidney;Prostate; Bladder
201	Robert Miles Moldwin	Moldwin	Robert Miles	x	253;353;394;501;539;665;698;753;945;1034;1045;1135;1546				Prostate
202	Katy Irene Burris	Burris	Katy Irene	x	1326				
203	Jeanine Adria Daly	Daly	Jeanine Adria	o					
204	Peter David Costantino	Costantino	Peter David	x	303;656;679;919;1069;1217;1372				Melanoma;Sarcoma; Head & Neck;Head & Neck
205	Michael A. Diefenbach	Diefenbach	Michael A.	o		176551		Feinstein Institute	Bladder
206	Alicia C. McDonald	McDonald	Alicia C.	x	352;655;1164;1236;1541	178864		Feinstein Institute	Prostate;Cervix
207	Emanuela Taioli	Taioli	Emanuela	x	36;80;128;152;158;199;207;222;298;619;644;714;778;813;820;879;1021;1040;1051;1080;1094;1103;1164;1176;1190;1197;1268;1330;1370;1454;1457;1507;1648	133922		Feinstein Institute	Head & Neck;Myelodysplastic Syndrome;Endometrius;Prostate;Cervix; Head & Neck;Breast;Lung;Any
