Serial.Number	Project.Title	Tumor.Type	Administering..IC	Application.ID	Project.Number	Type	Activity	IC	Support.Year	Suffix	Subproject.Number	Contact.PI..Person.ID	Contact.PI...Project.Leader	PI.Trim	MemberID	Other.PI.or.Project.Leader.s.	Organization.Name	ARRA.Indicator	FY	FY.Total.Cost	FY.Total.Cost...Sub.Projects.	FY.Total
20525	REGULATION OF CELL GROWTH AND PROLIFERATION BY MYC		NCI	7781554	2R01CA020525-34	2	R01	CA	34		NA	1877681	EISENMAN, ROBERT NEIL	EISENMAN, ROBERT NEIL	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	598409	NA	598409
57138	MYC ONCOPROTEIN FUNCTION		NCI	7880246	5R37CA057138-20	5	R37	CA	20		NA	1877681	EISENMAN, ROBERT NEIL	EISENMAN, ROBERT NEIL	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	853968	NA	853968
2	TRANSCRIPTION FACTORS IN STEM CELL SELF-RENEWAL AND DIFFERENTATION		NHLBI	8069564	5P01HL084205-04	5	P01	HL	4		2	1877681	EISENMAN, ROBERT NEIL	EISENMAN, ROBERT NEIL	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	465215	465215
58230	GROWTH REGULATORY TARGETS OF THE TUBEROUS SCLEROSIS COMPLEX		NINDS	7848110	5R01NS058230-05	5	R01	NS	5		NA	1877681	EISENMAN, ROBERT NEIL	EISENMAN, ROBERT NEIL	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	374182	NA	374182
90042	EVOLUTIONARY POTENTIAL OF A MODEL POXVIRUS		NIGMS	7774539	1K99GM090042-01	1	K99	GM	1		NA	6135986	ELDE, NELS C.	ELDE, NELS C.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	90000	NA	90000
30927	HIV HOST-CELL INTERACTIONS		NIAID	7805629	5R37AI030927-20	5	R37	AI	20		NA	1891728	EMERMAN, MICHAEL 	EMERMAN, MICHAEL	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	509259	NA	509259
73085	HIV INFECTION OF NON-DIVIDING CELLS		NIAID	7879997	5R01AI073085-04	5	R01	AI	4		NA	1891728	EMERMAN, MICHAEL 	EMERMAN, MICHAEL	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	294027	NA	294027
9002	BIOSTATISTICS		NCI	8130554	5P50CA097186-09	5	P50	CA	9		9002	9257679	ETZIONI, RUTH D	ETZIONI, RUTH D	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	137496	137496
131874	OUTCOMES BASED GUIDELINE DEVELOPMENT FOR PROSTATE CANCER SCREENING AND TREATMENT		NCI	7906848	5R01CA131874-03	5	R01	CA	3		NA	1883893	ETZIONI, RUTH D	ETZIONI, RUTH D	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	275094	NA	275094
155806	CANTRANCE: A  TOOL TO TRANSLATE INTERMEDIATE ENDPOINTS TO MORTALITY IN CE STUDIES		NCI	8037229	1RC4CA155806-01	1	RC4	CA	1		NA	1883893	ETZIONI, RUTH D	ETZIONI, RUTH D	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	YES	2010	1091952	NA	1091952
