Inst	Lead PI	Member #	NIH Total (2010-2015)	NCI Total (2010-2015)	Other NIH (2010-2015)	NIH 2010	NCI 2010	Other NIH 2010	NIH 2011	NCI 2011	Other NIH 2011	NIH 2012	NCI 2012	Other NIH 2012	NIH 2013	NCI 2013	Other NIH 2103	NIH 2014	NCI 2014	Other NIH 2014	NIH 2015	NCI 2015	Other NIH 2015
FIMR	EIDELBERG, DAVID		16571957	0	16571957	3005601	0	3005601	3409919	0	3409919	3488235	0	3488235	3189983	0	3189983	3478219	0	3478219	0	0	0
FIMR	ETTINGER, ALAN		1695	0	1695	1695	0	1695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	FARINA, GINO		64	0	64	64	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	FEIGIN, ANDREW S		4526544	0	4526544	854401	0	854401	508161	0	508161	588670	0	588670	1224231	0	1224231	1351081	0	1351081	0	0	0
FIMR	FRANCHIN, GIOVANNI		453028	0	453028	148578	0	148578	152225	0	152225	152225	0	152225	0	0	0	0	0	0	0	0	0
FIMR	FREUDENBERG, JAN		246228	0	246228	0	0	0	0	0	0	83625	0	83625	80038	0	80038	82565	0	82565	0	0	0
FIMR	FURIE, RICHARD		3392	0	3392	3392	0	3392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	GALLEGO, JUAN ANDRES		539903	0	539903	0	0	0	0	0	0	0	0	0	181092	0	181092	179953	0	179953	178858	0	178858
FIMR	GLUCK, MARK A		504688	0	504688	100656	0	100656	100700	0	100700	101921	0	101921	99054	0	99054	102357	0	102357	0	0	0
FIMR	GOLDBERG, TERRY		4050801	0	4050801	788560	0	788560	1048436	0	1048436	1277333	0	1277333	256023	0	256023	417112	0	417112	263337	0	263337
FIMR	GOTTLIEB, BETH S		7632	0	7632	7632	0	7632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	GRANDE, DANIEL A.		1695	0	1695	1695	0	1695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	GREGERSEN, PETER K.		6097646	0	6097646	3470562	0	3470562	1631848	0	1631848	387173	0	387173	179031	0	179031	429032	0	429032	0	0	0
FIMR	GRIFFIN, DANIEL		3815	0	3815	3815	0	3815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	GRUNER, PATRICIA		4239	0	4239	4239	0	4239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	GU, HUA		415000	0	415000	0	0	0	415000	0	415000	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	GULKO, PERCIO S		690356	0	690356	357943	0	357943	332413	0	332413	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	GUO, BENCHANG	65	84250	0	84250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84250	0	84250
FIMR	HAJIZADEH, NEGIN		457056	0	457056	0	0	0	0	0	0	0	0	0	0	0	0	252750	0	252750	204306	0	204306
FIMR	HIRSCH, JOY		1105234	0	1105234	257213	0	257213	443160	0	443160	404861	0	404861	0	0	0	0	0	0	0	0	0
FIMR	HUERTA, PATRICIO T		2777293	0	2777293	1281064	0	1281064	573504	0	573504	572227	0	572227	0	0	0	350498	0	350498	0	0	0
FIMR	KAFANTARIS, VIVIAN		495579	0	495579	107870	0	107870	107991	0	107991	127513	0	127513	76612	0	76612	75593	0	75593	0	0	0
FIMR	KANE, JOHN M		22242110	0	22242110	2817910	0	2817910	10753787	0	10753787	2507880	0	2507880	1710077	0	1710077	4452456	0	4452456	0	0	0
FIMR	KARLSGODT, KATHERINE HELEN		1716475	0	1716475	0	0	0	0	0	0	0	0	0	496600	0	496600	573710	0	573710	646165	0	646165
FIMR	KIM, HYUN		1487462	0	1487462	0	0	0	0	0	0	497617	0	497617	499997	0	499997	489848	0	489848	0	0	0
FIMR	KIM, SUN JUNG		1212879	0	1212879	127711	0	127711	127711	0	127711	127711	0	127711	327712	0	327712	502034	0	502034	0	0	0
FIMR	KOWAL, CZESLAWA HELENA		241159	0	241159	0	0	0	0	0	0	0	0	0	0	0	0	241159	0	241159	0	0	0
FIMR	KRAMER, JILL MARIE		316722	0	316722	133110	0	133110	133110	0	133110	50502	0	50502	0	0	0	0	0	0	0	0	0
FIMR	LENCZ, TODD		3986008	0	3986008	1784878	0	1784878	0	0	0	0	0	0	1182869	0	1182869	1018261	0	1018261	0	0	0
FIMR	LESSER, MARTIN L.	69	1773260	0	1773260	340577	0	340577	348629	0	348629	372033	0	372033	349279	0	349279	362742	0	362742	0	0	0
FIMR	LIPTON, JEFFREY M	71	2054537	0	2054537	434925	0	434925	415000	0	415000	410850	0	410850	391129	0	391129	402633	0	402633	0	0	0
FIMR	LIU, JOHNSON MING-YU	72	237879	0	237879	237879	0	237879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	LIU, SHU FANG		287595	0	287595	287595	0	287595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	LUCS, ALEXANDRA VITKO		146178	0	146178	45590	0	45590	48398	0	48398	52190	0	52190	0	0	0	0	0	0	0	0	0
FIMR	MA, YILONG		395977	0	395977	0	0	0	0	0	0	0	0	0	200000	0	200000	195977	0	195977	0	0	0
FIMR	MACKAY, MEGGAN		1361340	0	1361340	17805	0	17805	0	0	0	0	0	0	319570	0	319570	1023965	0	1023965	0	0	0
FIMR	MALHOTRA, ANIL K		9972519	0	9972519	2784043	0	2784043	2574269	0	2574269	3076129	0	3076129	73344	0	73344	790734	0	790734	674000	0	674000
FIMR	MANJARREZ-ORDUNO, NATALY		141534	0	141534	0	0	0	0	0	0	0	0	0	127710	0	127710	13824	0	13824	0	0	0
FIMR	MARAMBAUD, PHILIPPE		690850	0	690850	0	0	0	0	0	0	0	0	0	345425	0	345425	345425	0	345425	0	0	0
FIMR	MATTIS, PAUL		13141	0	13141	13141	0	13141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	MCDONALD, ALICIA C	206	318374	318374	0	0	0	0	0	0	0	0	0	0	229132	229132	0	89242	89242	0	0	0	0
FIMR	MCGINN, THOMAS G		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	MEHTA, ASHESH DINESH		5087	0	5087	5087	0	5087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	MENDELOWITZ, ALAN		561244	0	561244	561244	0	561244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	MENSCH, BARBARA SENA		423	0	423	423	0	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	METZ, CHRISTINE N		246341	0	246341	246341	0	246341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	MILLER, EDMUND J		813855	0	813855	0	0	0	0	0	0	0	0	0	401030	0	401030	412825	0	412825	0	0	0
FIMR	MONGINI, PATRICIA K.		373218	0	373218	0	0	0	0	0	0	206823	0	206823	166395	0	166395	0	0	0	0	0	0
FIMR	MORGENSTERN, JON		1373711	0	1373711	0	0	0	0	0	0	0	0	0	0	0	0	662075	0	662075	711636	0	711636
FIMR	MUENCH, FREDERICK JOHN		194090	0	194090	0	0	0	0	0	0	0	0	0	0	0	0	194090	0	194090	0	0	0
FIMR	MUKHERJEE, SEMANTI		179999	0	179999	0	0	0	0	0	0	0	0	0	90000	0	90000	89999	0	89999	0	0	0
FIMR	NIETHAMMER, MARC		848	0	848	848	0	848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	ONG, LAWRENCE		1272	0	1272	1272	0	1272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	PAVLOV, VALENTIN ATANASSOV		554523	0	554523	0	0	0	0	0	0	0	0	0	272323	0	272323	282200	0	282200	0	0	0
FIMR	PETRIDES, GEORGIOS		2196910	0	2196910	427372	0	427372	426915	0	426915	687318	0	687318	454934	0	454934	200371	0	200371	0	0	0
FIMR	POURFAR, MICHAEL		12717	0	12717	12717	0	12717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	POWELL, SAUL R		825160	0	825160	414499	0	414499	410661	0	410661	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	RICHSTONE, LEE	192	4239	0	4239	4239	0	4239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	ROBINSON, DELBERT G		1452798	0	1452798	733439	0	733439	57802	0	57802	76856	0	76856	313980	0	313980	270721	0	270721	0	0	0
FIMR	ROTHSTEIN, THOMAS L		6053021	0	6053021	1380498	0	1380498	1150381	0	1150381	1605430	0	1605430	1084612	0	1084612	410850	0	410850	421250	0	421250
FIMR	SCHIFFER, WYNNE K		2157049	0	2157049	907306	0	907306	645234	0	645234	604509	0	604509	0	0	0	0	0	0	0	0	0
FIMR	SCHOOLER, NINA R		160215	0	160215	160215	0	160215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	SCHWARTZ, GUY		1695	0	1695	1695	0	1695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	SETHNA, CHRISTINE		1272	0	1272	1272	0	1272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	SEVY, SERGE		1071157	0	1071157	425885	0	425885	177375	0	177375	202172	0	202172	133591	0	133591	132134	0	132134	0	0	0
FIMR	SHERRY, BARBARA	78	297564	0	297564	297564	0	297564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	SILVERMAN, ROBERT A		13989	0	13989	13989	0	13989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	SINGHAL, PRAVIN C		6038685	0	6038685	1143670	0	1143670	929093	0	929093	921558	0	921558	1500007	0	1500007	926323	0	926323	618034	0	618034
FIMR	SIRCAR, RATNA		590230	0	590230	360497	0	360497	229733	0	229733	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	SMITH, GWENN S		623626	0	623626	170730	0	170730	169264	0	169264	283632	0	283632	0	0	0	0	0	0	0	0	0
FIMR	SON, MYOUNGSUN		127710	0	127710	0	0	0	0	0	0	0	0	0	0	0	0	127710	0	127710	0	0	0
FIMR	SPEISER, PHYLLIS W		50022	0	50022	50022	0	50022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	STEINBERG, BETTIE M.	82	2768507	0	2768507	1187785	0	1187785	922317	0	922317	337644	0	337644	320761	0	320761	0	0	0	0	0	0
FIMR	SYMONS, MARC H	83	247221	0	247221	247221	0	247221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	SZESZKO, PHILIP R		1061520	0	1061520	572711	0	572711	187955	0	187955	300854	0	300854	0	0	0	0	0	0	0	0	0
FIMR	TAIOLI, EMANUELA	207	1136490	73085	1063405	73085	73085	0	0	0	0	0	0	0	600398	0	600398	463007	0	463007	0	0	0
FIMR	TALWAR, ARUNABH		14838	0	14838	14838	0	14838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	TANG, CHAI-MEI		4239	0	4239	4239	0	4239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	TRACEY, KEVIN J		6398250	0	6398250	2742886	0	2742886	597600	0	597600	965855	0	965855	662087	0	662087	1429822	0	1429822	0	0	0
FIMR	VAMBUTAS, ANDREA		1879209	0	1879209	166000	0	166000	249000	0	249000	491565	0	491565	473810	0	473810	498834	0	498834	0	0	0
FIMR	VINCIGUERRA, VINCENT P	85	3574412	3574412	0	617929	617929	0	599459	599459	0	611448	611448	0	711448	711448	0	1034128	1034128	0	0	0	0
FIMR	VLACHOS, ADRIANNA	130	300000	0	300000	300000	0	300000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	VOLPE, BRUCE THOMAS		2565859	0	2565859	247221	0	247221	424965	0	424965	390317	0	390317	0	0	0	1503356	0	1503356	0	0	0
FIMR	WANG, HAICHAO		2419424	0	2419424	578839	0	578839	328680	0	328680	328680	0	328680	606955	0	606955	288135	0	288135	288135	0	288135
FIMR	WANG, PING		5415094	0	5415094	1220362	0	1220362	813898	0	813898	1385336	0	1385336	906373	0	906373	1089125	0	1089125	0	0	0
FIMR	WU, RONGQIAN		233619	0	233619	0	0	0	207500	0	207500	26119	0	26119	0	0	0	0	0	0	0	0	0
FIMR	YANG, HUAN		1211894	0	1211894	0	0	0	282200	0	282200	313556	0	313556	302582	0	302582	313556	0	313556	0	0	0
FIMR	ZHANG, JIANPING		724368	0	724368	0	0	0	0	0	0	180932	0	180932	181012	0	181012	181092	0	181092	181332	0	181332
CSH	ALBEANU, DINU	38	945000	0	945000	0	0	0	0	0	0	0	0	0	472500	0	472500	472500	0	472500	0	0	0
CSH	ANCZUKOW-CAMARDA, OLGA		213096	213096	0	0	0	0	0	0	0	0	0	0	107088	107088	0	106008	106008	0	0	0	0
CSH	BHAGWAT, ANAND		26676	26676	0	0	0	0	0	0	0	0	0	0	0	0	0	26676	26676	0	0	0	0
CSH	BORGES, KATHARINE		106888	0	106888	52154	0	52154	54734	0	54734	0	0	0	0	0	0	0	0	0	0	0	0
CSH	CHURCHLAND, ANNE KATHRYN	39	2087441	0	2087441	248999	0	248999	236939	0	236939	247403	0	247403	428000	0	428000	463050	0	463050	463050	0	463050
CSH	DUBNAU, JOSHUA T	40	2201167	0	2201167	430650	0	430650	430650	0	430650	466125	0	466125	453742	0	453742	0	0	0	420000	0	420000
CSH	ENIKOLOPOV, GRIGORI N	5	1721029	0	1721029	0	0	0	438668	0	438668	410526	0	410526	379277	0	379277	492558	0	492558	0	0	0
CSH	FURUKAWA, HIROYASU	41	3540264	0	3540264	435000	0	435000	430650	0	430650	457875	0	457875	449064	0	449064	826875	0	826875	940800	0	940800
CSH	GANN, ALEXANDER		806658	0	806658	0	0	0	0	0	0	267927	0	267927	267927	0	267927	270804	0	270804	0	0	0
CSH	GINGERAS, THOMAS RAYMOND	7	11893656	0	11893656	2734037	0	2734037	2734037	0	2734037	2124096	0	2124096	2026822	0	2026822	2274664	0	2274664	0	0	0
CSH	HUANG, Z JOSH	43	7070286	0	7070286	1202608	0	1202608	556080	0	556080	560565	0	560565	1408678	0	1408678	2029940	0	2029940	1312415	0	1312415
CSH	IPSARO, JONATHAN JAMES		100588	0	100588	0	0	0	48398	0	48398	52190	0	52190	0	0	0	0	0	0	0	0	0
CSH	JANSEN, JACLYN MARIE		109682	0	109682	0	0	0	48398	0	48398	47756	0	47756	13528	0	13528	0	0	0	0	0	0
CSH	JOSHUA-TOR, LEEMOR	12	1176714	0	1176714	620590	0	620590	556124	0	556124	0	0	0	0	0	0	0	0	0	0	0	0
CSH	KELLY, SEAN MICHAEL		52908	0	52908	0	0	0	0	0	0	0	0	0	26232	0	26232	26676	0	26676	0	0	0
CSH	KEPECS, ADAM	46	2957834	0	2957834	0	0	0	388063	0	388063	411250	0	411250	398968	0	398968	859553	0	859553	900000	0	900000
CSH	KOULAKOV, ALEXEI	47	3486397	0	3486397	763800	0	763800	747909	0	747909	356621	0	356621	767297	0	767297	425250	0	425250	425520	0	425520
CSH	LAZARUS, MATTHEW		28610	0	28610	28610	0	28610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSH	LI, BO	49	3795430	0	3795430	526630	0	526630	518880	0	518880	560038	0	560038	541939	0	541939	1037018	0	1037018	610925	0	610925
CSH	MARTIENSSEN, ROBERT A	18	3720713	0	3720713	767760	0	767760	354798	0	354798	719580	0	719580	723220	0	723220	748311	0	748311	407044	0	407044
CSH	MCCOMBIE, WILLIAM RICHARD	19	5815698	0	5815698	1135298	0	1135298	1039526	0	1039526	1069587	0	1069587	1077836	0	1077836	970307	0	970307	523144	0	523144
CSH	MICKLOS, DAVID ANDREW		500747	0	500747	0	0	0	0	0	0	0	0	0	0	0	0	253843	0	253843	246904	0	246904
CSH	MILLS, ALEA A	20	2936532	2417832	518700	348600	348600	0	513174	513174	0	557613	557613	0	185045	185045	0	1096900	813400	283500	235200	0	235200
CSH	MITRA, PARTHA PRATIM	52	5782903	0	5782903	1547490	0	1547490	1291070	0	1291070	1382531	0	1382531	1063514	0	1063514	250003	0	250003	248295	0	248295
CSH	MUTHUSWAMY, SENTHIL K		1425592	1425592	0	256295	256295	0	377711	377711	0	405930	405930	0	385656	385656	0	0	0	0	0	0	0
CSH	NOMAKUCHI, TOMOKI T		27120	0	27120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27120	0	27120
CSH	ODOEMENE, ONYEKACHI		43120	0	43120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43120	0	43120
CSH	OSTEN, PAVEL	53	3257815	0	3257815	0	0	0	0	0	0	485438	0	485438	448320	0	448320	1802407	0	1802407	521650	0	521650
CSH	PAPPIN, DARRYL J	21	851656	0	851656	851656	0	851656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSH	POLLOCK, LUDMILA T		93957	0	93957	0	0	0	0	0	0	0	0	0	0	0	0	44685	0	44685	49272	0	49272
CSH	SIEPEL, ADAM CHARLES	24	583195	0	583195	0	0	0	0	0	0	0	0	0	0	0	0	33193	0	33193	550002	0	550002
CSH	STENLUND, ARNE	27	1831983	0	1831983	430650	0	430650	426344	0	426344	470000	0	470000	0	0	0	0	0	0	504989	0	504989
CSH	TANSEY, WILLIAM PATRICK		1186164	1186164	0	604307	604307	0	581857	581857	0	0	0	0	0	0	0	0	0	0	0	0	0
CSH	TROTMAN, LLOYD C	30	1508935	1508935	0	288840	288840	0	240475	240475	0	301376	301376	0	286069	286069	0	392175	392175	0	0	0	0
CSH	TUCCIARONE, JASON M		79140	0	79140	0	0	0	0	0	0	26232	0	26232	26232	0	26232	26676	0	26676	0	0	0
CSH	TURNER, GLENN C	57	2128931	0	2128931	361000	0	361000	421080	0	421080	454960	0	454960	434511	0	434511	457380	0	457380	0	0	0
CSH	VAN AELST, LINDA	33	5729137	1445239	4283898	752550	361050	391500	737804	350219	387585	794040	376384	417656	1421745	357586	1064159	1001106	0	1001106	1021892	0	1021892
CSH	WIGLER, MICHAEL H	34	1395339	0	1395339	1395339	0	1395339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSH	ZADOR, ANTHONY M	59	6354372	0	6354372	1339736	0	1339736	784989	0	784989	1219023	0	1219023	1071536	0	1071536	1519088	0	1519088	420000	0	420000
CSH	ZHONG, YI	37	1862739	0	1862739	348000	0	348000	341040	0	341040	368154	0	368154	0	0	0	401625	0	401625	403920	0	403920
