Index	Inst	Title	PI	Local PI	MemberID	Phase	Sponsor	Sponsor Type	Type	Age	Trial IDs	Tumor Type(s)
11	Fred Hutch	Brentuximab Vedotin in Treating Patients With Relapsed or Refractory CD30+ Lymphoma	Ajay Kumar Gopal	Ajay Kumar Gopal		No phase specified	University of Washington Medical Center; NCi	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 7808, NCI-2012-01696, NCT01703949	Lymphoma
12	Fred Hutch	Immune Monitoring Protocol in Men With Prostate Cancer Enrolled in a Clinical Trial of Sipuleucel-T	Celestia Savoye Higano	Celestia Savoye Higano		No phase specified	Dendreon Corporation	Pharma	 Biomarker/Laboratory analysis	 18 and over	 P11-4, NCI-2015-00139, NCT01727154	Prostate
13	Fred Hutch	Degarelix Acetate Before and During Radiation Therapy in Treating Patients With Prostate Cancer	Robert Bruce Montgomery	Robert Bruce Montgomery		No phase specified	University of Washington Medical Center; NCi	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 7846, NCI-2012-02136, NCT01731912	Prostate
14	Fred Hutch	Liposomal Cytarabine-Daunorubicin CPX-351 in Treating Patients with Untreated Myelodysplastic Syndrome or Acute Myeloid Leukemia	Roland Bruno Walter	Roland Bruno Walter		No phase specified	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Treatment	 18 and over	 2642.00, NCI-2013-00481, 2642, NCT01804101	Leukemia; Myelodysplastic Syndrome
15	Fred Hutch	Outpatient Induction Chemotherapy in Treating Patients with Acute Myeloid Leukemia or Advanced Myelodysplastic Syndrome	Pamela Sue Becker	Pamela Sue Becker		No phase specified	University of Washington Medical Center; NCi	IIT; NCI	 Natural history/Epidemiology	 18 to 59	 7910, NCI-2013-00483, NCT01807091	Leukemia; Myelodysplastic Syndrome
16	Fred Hutch	Prospective Cohort for the Evaluation of Biomarkers Following HCT (BMT CTN 1202)	John Andrew Hansen	John Andrew Hansen		No phase specified	Medical College of Wisconsin; Blood and Marrow Transplant Clinical Trials Network; National Cancer Institute; National Heart Lung and Blood Institute	Other; NCI; NHLBI	 Biomarker/Laboratory analysis, Natural history/Epidemiology	 Not specified	 BMTCTN1202, NCI-2014-01454, U10HL069294-11, NCT01879072	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
17	Fred Hutch	FLT PET in Measuring Treatment Response in Patients with Newly Diagnosed Estrogen Receptor-Positive, HER2-Negative Stage I-III Breast Cancer	Hannah Margaret Linden	Hannah Margaret Linden		No phase specified	University of Washington Medical Center; NCi	IIT; NCI	 Biomarker/Laboratory analysis, Diagnostic	 18 and over	 7536, NCI-2013-01380, NCT01928186	Breast
18	Fred Hutch	Collecting, Analyzing, and Storing Samples From Patients with Metastatic, Triple Negative Breast Cancer Receiving Cisplatin	Anthony Blau	Anthony Blau		No phase specified	University of Washington Medical Center; Nci	IIT; NCI	 Biomarker/Laboratory analysis, Tissue collection/Repository	 18 and over	 8132, NCI-2013-01654, ITOMIC-001, UW13022, NCT01957514	Breast; Mets
19	Fred Hutch	Recombinant Interferon Gamma in Treating Patients With Soft Tissue Sarcoma	Seth Pollack	Seth Pollack		No phase specified	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 2705.00, NCI-2013-01779, NCT01957709	Sarcoma
20	Fred Hutch	SPECT/CT in Measuring Lung Function in Patients with Lung Cancer Undergoing Radiation Therapy	Jing Zeng	Jing Zeng		No phase specified	University of Washington Medical Center; NCi	IIT; NCI	 Diagnostic	 19 and over	 8180, NCI-2013-01774, NCT01982123	Lung
21	Fred Hutch	MRI and PET Imaging in Predicting Treatment Response in Patients with Stage IB-IVA Cervical Cancer	Nina Andrea Mayr	Nina Andrea Mayr		No phase specified	University of Washington Medical Center; NCi	IIT; NCI	 Diagnostic	 18 and over	 8118, NCI-2013-01935, NCT01992861	Cervix Cancer
22	Fred Hutch	Automated Breast Ultrasound and Digital Breast Tomosynthesis Screening Compared to Full Field Digital Mammography in Women With Dense Breasts	Constance D. Lehman	Constance D. Lehman		No phase specified	GE Healthcare	Pharma	 Screening	 18 and over	 124.03-2013-GES-0003, NCI-2014-01332, NCT02042456	Breast
23	Fred Hutch	Decitabine and Cytarabine in Treating Older Patients with Newly Diagnosed Acute Myeloid Leukemia, High Risk Myelodysplastic Syndrome, or Myeloproliferative Neoplasm	Pamela Sue Becker	Pamela Sue Becker		No phase specified	University of Washington Medical Center; NCi	IIT; NCI	 Treatment	 60 and over	 9019, NCI-2014-00769, NCT02121418	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
24	Fred Hutch	F-18 FES PET in Measuring Hormone Expression in Patients with Primary, Recurrent or Metastatic Breast Cancer Undergoing Endocrine-Targeted Therapy	Hannah Margaret Linden	Hannah Margaret Linden		No phase specified	University of Washington Medical Center; NCi	IIT; NCI	 Biomarker/Laboratory analysis, Diagnostic	 18 and over	 7184, NCI-2013-02342, NCT02149173	Breast; Mets
25	Fred Hutch	18F-FLT PET/CT in Measuring Cell Proliferation in Patients with Brain Tumors	Jason Rockhill	Jason Rockhill		No phase specified	University of Washington Medical Center; NCi	IIT; NCI	 Diagnostic	 18 and over	 7754, NCI-2013-02162, NCT02167204	Brain; Mets
26	Fred Hutch	Genetic Testing in Screening Patients with Stage IB-IIIA Non-small Cell Lung Cancer That Has Been or Will Be Removed by Surgery (The ALCHEMIST Screening Trial)	Geoffrey Raymond Oxnard	Rafael Santana-Davila		No phase specified	National Cancer Institute	NCI	 Biomarker/Laboratory analysis, Natural history/Epidemiology	 18 and over	 A151216, NCI-2014-01509, NCT02200497, NCT02194738	Lung
27	Fred Hutch	Proton Beam Radiation Therapy in Treating Patients with Recurrent Thoracic Cancer Who Have Received Prior Radiation Therapy	Jing Zeng	Jing Zeng		No phase specified	University of Washington Medical Center; NCi	IIT; NCI	 Treatment	 19 and older	 9148, NCI-2014-01468, NCT02204761	Lung
28	Fred Hutch	Ibrutinib in Treating Patients with Relapsed or Refractory Indolent B-Cell Non-Hodgkin Lymphoma	Ajay Kumar Gopal	Ajay Kumar Gopal		No phase specified	University of Washington Medical Center; NCi	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 9107, NCI-2014-01573, NCT02207062	Lymphoma
29	Fred Hutch	Telemonitoring Device in Managing Outpatient Care of Patients with Myelodysplastic Syndrome or Acute Myeloid Leukemia after Intensive Chemotherapy	Roland Bruno Walter	Roland Bruno Walter		No phase specified	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Supportive care	 18 to 75	 9105, NCI-2014-01680, NCT02226497	Leukemia; Myelodysplastic Syndrome
30	Fred Hutch	Expressive Writing in Improving the Wellbeing or Comforting Capacity of Caregivers of Patients with Cancer	Linda Ko	Linda Ko		No phase specified	University of Washington Medical Center; NCi	IIT; NCI	 Supportive care	 18 and over	 9216, NCI-2014-02511, NCT02339870	Any
31	Fred Hutch	Taking Care of Her Program in Patients with Stage III or IV Ovarian Cancer and Spouse Caregivers	Frances Lewis	Frances Lewis		No phase specified	University of Washington Medical Center; NCi	IIT; NCI	 Supportive care	 Not specified	 9306, NCI-2015-00325, NCT02401321	Ovary
32	Fred Hutch	Iodine I 131 Monoclonal Antibody BC8 before Autologous Stem Cell Transplant in Treating Patients with Relapsed or Refractory Hodgkin Lymphoma or Non-Hodgkin Lymphoma	Ajay Kumar Gopal	Ajay Kumar Gopal		Phase I	Fred Hutchinson Cancer Research Center; NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 2238.00, NCI-2010-00128, FHCRC-2238.00, IR-6844, MCLI-07-002, NCT00860171	Lymphoma
33	Fred Hutch	A Study of the Safety and Pharmacokinetics of Escalating Doses of DSTP3086S in Patients With Metastatic Castration-Resistant Prostate Cancer	Celestia Savoye Higano	Celestia Savoye Higano		Phase I	Genentech Inc.	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 DST4964g, NCI-2011-03433, GO00768, NCT01283373	Prostate; Mets
34	Fred Hutch	Yttrium Y 90 Anti-CD45 Monoclonal Antibody BC8 Followed by Donor Stem Cell Transplant in Treating Patients with High-Risk Acute Myeloid Leukemia, Acute Lymphoblastic Leukemia, or Myelodysplastic Syndrome	Brenda M. Sandmaier	Brenda M. Sandmaier		Phase I	Fred Hutchinson Cancer Research Center; NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 50 and over	 2468.00, NCI-2011-00150, 2468, 2468.00A, NCT01300572	Leukemia; Lymphoma; Myelodysplastic Syndrome
35	Fred Hutch	A Study Of PF-05082566 As A Single Agent And In Combination With Rituximab	Ajay Kumar Gopal	Ajay Kumar Gopal		Phase I	Pfizer Inc	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 B1641001, NCI-2012-00880, 2011-002799-17, NCT01307267	Lymphoma; Solid Tumors
36	Fred Hutch	Gene Therapy for Fanconi Anemia	Pamela Sue Becker	Pamela Sue Becker		Phase I	Fred Hutchinson Cancer Research Center; National Heart Lung and Blood Institute; NCI	IIT; NCI; NHLBI	 Biomarker/Laboratory analysis, Treatment	 Not specified	 2097.00, NCI-2011-00202, NCT01331018	N/A
37	Fred Hutch	Phase I Clinical Study of CWP232291 in Acute Myeloid Leukemia Patients	John Michael Pagel	John Michael Pagel		Phase I	JW Pharmaceutical Corporation	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 JW-231A-101, NCI-2011-03495, NCT01398462	Leukemia
38	Fred Hutch	Radiation Therapy, Cisplatin, and Etoposide in Treating Patients with Non-small Cell Lung Cancer That Cannot Be Removed by Surgery	Shilpen Patel	Shilpen Patel		Phase I	University of Washington Medical Center; NCI	NCI	 Treatment	 not specified	 7506, NCI-2011-01752, NCT01411098	Lung
39	Fred Hutch	Study of Nivolumab (BMS-936558) in Combination With Gemcitabine/Cisplatin, Pemetrexed/Cisplatin, Carboplatin/Paclitaxel, Bevacizumab Maintenance, Erlotinib, Ipilimumab or as Monotherapy in Subjects With Stage IIIB/IV Non-small Cell Lung Cancer (NSCLC) (CheckMate 012)	Laura Q.M. Chow	Laura Q.M. Chow		Phase I	Bristol-Myers Squibb	Pharma	 Treatment	 18 and over	 CA209-012, NCI-2012-00350, NCT01454102	Lung; Mets
40	Fred Hutch	90 Y-BC8-DOTA Monoclonal Antibody, Fludarabine Phosphate, and Total-Body Irradiation Followed by Donor Peripheral Blood Stem Cell Transplant in Treating Patients with Multiple Myeloma	William I. Bensinger	William I. Bensinger		Phase I	Fred Hutchinson Cancer Research Center; NCI	NCI	 Treatment	 18 to 65	 2450.00, NCI-2010-02041, NCT01503242	Myeloma
41	Fred Hutch	Study of ACY-1215 in Combination With Lenalidomide, and Dexamethasone in Multiple Myeloma	William I. Bensinger	William I. Bensinger		Phase I	Acetylon Pharmaceuticals	Pharma	 Treatment	 18 and over	 ACE-MM-101, NCI-2012-01280, NCT01583283	Myeloma
42	Fred Hutch	A Study to Determine Safety, Tolerability and Pharmacokinetics of Oral Dabrafenib In Children and Adolescent Subjects	Sarah E. Sherr Leary	Sarah E. Sherr Leary		Phase I	GlaxoSmithKline	Pharma	 Biomarker/Laboratory analysis, Treatment	 1 month to 17 years	 116013, NCI-2013-00631, NCT01677741	Peds; Solid Tumors
43	Fred Hutch	Monoclonal Antibody Therapy before Stem Cell Transplant in Treating Patients with Relapsed or Refractory Lymphoid Malignancies	Ajay Kumar Gopal	Ajay Kumar Gopal		Phase I	Fred Hutchinson Cancer Research Center; NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 2361.00, NCI-2012-01505, NCT01678443	Lymphoma
44	Fred Hutch	Pomalidomide and Dexamethasone in Treating Patients with Relapsed or Refractory Primary Central Nervous System Lymphoma or Newly Diagnosed or Relapsed or Refractory Intraocular Lymphoma	Han Win Tun	Marc Charles Chamberlain		Phase I	Mayo Clinic in Florida; NCI		 Biomarker/Laboratory analysis, Treatment	 18 and over	 MC1281, NCI-2012-01948, Mod12-003419-17, NCT01722305	Lymphoma
45	Fred Hutch	Safety and Efficacy Study of PRI-724 Plus Gemcitabine in Subjects With Advanced or Metastatic Pancreatic Adenocarcinoma	Elena Gabriela Chiorean	Elena Gabriela Chiorean		Phase I	PRISM BioLab Co., Ltd.; inVentiv Health	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 PRI-724-102, NCI-2013-00907, NCT01764477	Pancreas; Mets
46	Fred Hutch	Avelumab in Metastatic or Locally Advanced Solid Tumors (JAVELIN Solid Tumor)	Mary Lenora (Nora) Disis	Mary Lenora (Nora) Disis		Phase I	EMD Serono	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 EMR 100070-001, NCI-2013-02214, 2013-002834-19, NCT01772004	Esophageal; Melanoma; Prostate; Lung; Bladder; Stomach; Ovary; Kidney; Head & Neck; Mets
47	Fred Hutch	Ado-Trastuzumab Emtansine in Treating Patients with HER2-Positive Metastatic or Locally Advanced Breast Cancer that Cannot Be Removed by Surgery	Vijayakrishna K. Gadi	Vijayakrishna K. Gadi		Phase I	University of Washington Medical Center; NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 7900, NCI-2013-00552, CC-7900, NCT01816035	Breast; Mets
48	Fred Hutch	Cabozantinib-S-Malate in Treating Patients With Advanced Solid Tumors and Human Immunodeficiency Virus	Missak Haigentz	Corey Casper		Phase I	National Cancer Institute	NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 AMC-087, NCI-2013-00740, NCT01822522	Solid Tumors; Mets
49	Fred Hutch	AZD8186 First Time In Patient Ascending Dose Study	Celestia Savoye Higano	Celestia Savoye Higano		Phase I	AstraZeneca Pharmaceuticals LP	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 D4620C00001, NCI-2013-02191, NCT01884285	Prostate; Lung; Breast; Mets
50	Fred Hutch	A Safety Study of SGN-CD33A in AML Patients	Roland Bruno Walter	Roland Bruno Walter		Phase I	Seattle Genetics	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 SGN33A-001, NCI-2013-01719, NCT01902329	Leukemia
51	Fred Hutch	ASG-15ME is a Study of Escalating Doses of AGS15E Given as Monotherapy in Subjects With Metastatic Urothelial Cancer	Evan Ya-Wen Yu	Evan Ya-Wen Yu		Phase I	Agensys; Seattle Genetics	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 AGS15E-13-1, NCI-2013-02093, NCT01963052	Urinary Tract; Mets
52	Fred Hutch	A Safety Study of SGN-LIV1A in Breast Cancer Patients	Jennifer Marie Specht	Jennifer Marie Specht		Phase I	Seattle Genetics	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 SGNLVA-001, NCI-2013-02245, NCT01969643	Breast; Mets
53	Fred Hutch	A Phase 1b Study Evaluating AMG 232 Alone and in Combination With Trametinib in Acute Myeloid Leukemia	Pamela Sue Becker	Pamela Sue Becker		Phase I	Amgen, Inc.	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 20120234, NCI-2014-00603, NCT02016729	Leukemia
54	Fred Hutch	A Proof-of-Concept Trial of GLA-SE in Patients With Merkel Cell Carcinoma	Shailender Bhatia	Shailender Bhatia		Phase I	Immune Design	Pharma	 Treatment	 18 and over	 IDC-G100-2013-001, NCI-2014-01333, NCT02035657	Skin; Mets
55	Fred Hutch	NY-ESO-1 Specific T Cells after Cyclophosphamide in Treating Patients with Advanced Synovial Sarcoma or Myxoid/Round Cell Liposarcoma	Seth Pollack	Seth Pollack		Phase I	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 to 85	 2720.00, NCI-2013-02464, NCT02059850	Sarcoma; Mets
56	Fred Hutch	Safety Study of Anti-LAG-3 in CLL, HL, NHL and MM	Ajay Kumar Gopal	Ajay Kumar Gopal		Phase I	Bristol-Myers Squibb	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 CA224-022, NCI-2014-01120, NCT02061761	Leukemia; Lymphoma; Myeloma
57	Fred Hutch	Dose Escalation Study to Investigate the Safety, Pharmacokinetics, Pharmacodynamics, Immunogenicity and Clinical Activity of GSK2857916	Edward Norton Libby	Edward Norton Libby		Phase I	GlaxoSmithKline	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 117159, NCI-2014-00817, NCT02064387	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
58	Fred Hutch	MEDI4736 (Anti PD-L1) Combined With Gefitinib in Subjects With Non-Small Cell Lung Cancer(NSCLC)	Laura Q.M. Chow	Laura Q.M. Chow		Phase I	AstraZeneca Pharmaceuticals LP	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 D791PC00001, NCI-2014-00735, NCT02088112	Lung; Mets
59	Fred Hutch	Ph 1 Trial of ADI PEG 20 Plus Sorafenib to Treat Patients With Liver Cancer	William Proctor Harris	William Proctor Harris		Phase I	Polaris Group	Pharma	 Treatment	 18 and over	 POLARIS2013-005, NCI-2014-02490, NCT02101593	Liver
60	Fred Hutch	A Phase 1 Safety Study of Intradermal ID-LV305 in Patients With Locally Advanced, Relapsed or Metastatic Cancer Expressing NY-ESO-1	Seth Pollack	Seth Pollack		Phase I	Immune Design	Pharma	 Treatment	 18 and over	 ID-LV305-2013-001, NCI-2014-01153, NCT02122861	Melanoma; Sarcoma; Ovary; Breast; Lung
61	Fred Hutch	Vaccine Therapy in Treating Patients with HER2-Negative Stage III-IV Breast Cancer	Mary Lenora (Nora) Disis	Mary Lenora (Nora) Disis		Phase I	University of Washington Medical Center; NCi	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 9140, NCI-2014-01070, 137, NCT02157051	Breast
62	Fred Hutch	TLR4 agonist GLA-SE and Radiation Therapy in Treating Patients with Metastatic Sarcoma	Seth Pollack	Seth Pollack		Phase I	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 B1641003, NCI-2014-01800, KEYNOTE-0036, NCT02179918	Sarcoma; Mets
63	Fred Hutch	Phase 1b Acute Myelogenous Leukemia (AML) Study With ABT-199 + Decitabine or Azacitidine (Chemo Combo)	Pamela Sue Becker	Pamela Sue Becker		Phase I	Abbvie; Genentech Inc.	Pharma	 Biomarker/Laboratory analysis, Treatment	 65 and over	 M14-358, NCI-2014-01763, 2014-000687-18, NCT02203773	Leukemia
64	Fred Hutch	Safety Study of SGN-CD70A in Cancer Patients	John A. Thompson	John A. Thompson		Phase I	Seattle Genetics	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 SGN70A-001, NCI-2014-01875, NCT02216890	Kidney; Lymphoma
65	Fred Hutch	A Safety and Pharmacology Study of MPDL3280A Administered With Obinutuzumab in Patients With Relapsed/Refractory Follicular Lymphoma and Diffuse Large B-cell Lymphoma	Brian Gerald Till	Brian Gerald Till		Phase I	Hoffmann-La Roche	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 GO29383, NCI-2014-02375, 2014-001812-21, NCT02220842	Lymphoma
66	Fred Hutch	Study of MOR209/ES414 in Metastatic Castration-Resistant Prostate Cancer	Celestia Savoye Higano	Celestia Savoye Higano		Phase I	Emergent Product Development Seattle, LLC; MorphoSys AG	Pharma	 Biomarker/Laboratory analysis, Treatment	 Not specified	 401, NCI-2015-00276, NCT02262910	Prostate; Mets
67	Fred Hutch	Phase 1, Multiple Ascending Dose Study of Anti-HER2 FCAB FS102 in HER2 Positive Solid Tumors	Elena Gabriela Chiorean	Elena Gabriela Chiorean		Phase I	Bristol-Myers Squibb	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 CA014-001, NCI-2015-00318, FS10214100, NCT02286219	Mets; Breast; Stomach; Esophageal
68	Fred Hutch	A Study Evaluating ABT-199 in Combination With Low-Dose Cytarabine in Treatment-Naïve Subjects With Acute Myelogenous Leukemia (AML)	Roland Bruno Walter	Roland Bruno Walter		Phase I	Genentech Inc.	Pharma	 Biomarker/Laboratory analysis, Treatment	 65 and over	 M14-387, NCI-2015-00216, 2014-002610-23, NCT02287233	Leukemia
69	Fred Hutch	A Study of MPDL3280A in Combination With INCB024360 in Subjects With Previously Treated Stage IIIB or Stage IV Non-Small Cell Lung Cancer	Laura Q.M. Chow	Laura Q.M. Chow		Phase I	Incyte Corporation; Genentech Inc.; F Hoffmann-La Roche Limited	Pharma	 Treatment	 18 and over	 INCB 24360-110, NCI-2015-00841, NCT02298153	Lung; Mets
70	Fred Hutch	NY-ESO-1-Specific T Cells in Treating Patients with Advanced NY-ESO-1-Expressing Sarcomas Receiving Palliative Radiation Therapy	Seth Pollack	Seth Pollack		Phase I	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 2721.00, NCI-2014-02154, 2721, 2721.00A, NCT02319824	Sarcoma; Mets
71	Fred Hutch	A Safety Study of SGN-CD33A in Combination With Standard-of-care in Patients With AML	Roland Bruno Walter	Roland Bruno Walter		Phase I	Seattle Genetics	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 SGN33A-002, NCI-2014-02680, NCT02326584	Leukemia
72	Fred Hutch	Study For Patients With NSCLC EGFR Mutations (Del 19 or L858R +/- T790M)	Renato Goncalves Martins	Renato Goncalves Martins		Phase I	Pfizer Inc	Pharma	 Treatment	 18 and over	 INCB 24360-110, NCI-2015-00841, NCT02298153	Lung; Mets
73	Fred Hutch	Pentostatin and Lymphocyte Infusion in Preventing Graft Rejection in Patients Who Have Undergone Donor Stem Cell Transplant	Brenda M. Sandmaier	Brenda M. Sandmaier		Phase II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Treatment	 Under 75	 1825.00, NCI-2010-00230, FHCRC-1825.00, 5605, SUPERGEN-FHCRC-1825.00, NCT00096161	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
74	Fred Hutch	Fludarabine Phosphate, Radiation Therapy, and Rituximab in Treating Patients Who Are Undergoing Donor Stem Cell Transplant Followed by Rituximab for High-Risk Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma	Mohamed L. Sorror	Mohamed L. Sorror		Phase II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 Any age	 1840.00, NCI-2009-01594, FHCRC-1840.00, 5910, NCT00104858	Leukemia; Lymphoma
75	Fred Hutch	Fludarabine Phosphate and Total Body Irradiation Followed by a Donor Peripheral Stem Cell Transplant in Treating Patients With Myelodysplastic Syndromes or Myeloproliferative Disorders	Brenda M. Sandmaier	Brenda M. Sandmaier		Phase II	Fred Hutchinson Cancer Research Center; NCI; NHLBI	NCI; NHLBI	 Treatment	 Any age	 2056.00, NCI-2010-00237, FHCRC-2056.00, 6171, NCT00397813	Myelodysplastic Syndromes 
76	Fred Hutch	Fludarabine Phosphate, Cyclophosphamide, and Total-Body Irradiation Followed by Donor Bone Marrow Transplant and Cyclophosphamide, Mycophenolate Mofetil, Tacrolimus, and Sirolimus in Treating Patients with Primary Immunodeficiency Disorders or Noncancerous Inherited Disorders	Lauri M Burroughs	Lauri M Burroughs		Phase II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Treatment	 Under 55	 2032.00, NCI-2010-00192, 2032, FHCRC-2032.00, 6297, NCT00358657	N/A
77	Fred Hutch	Alemtuzumab, Fludarabine Phosphate, and Total-Body Irradiation Followed by a Donor Stem Cell Transplant in Treating Patients with Immunodeficiency or Other Nonmalignant Inherited Disorders	Lauri M Burroughs	Lauri M Burroughs		Phase II	Fred Hutchinson Cancer Research Center; NCI; NHLBI	IIT; NCI; NHLBI	 Treatment	 55 and under	 2007.00, NCI-2009-01550, FHCRC-2007.00, 6301, NCT00553098	N/A
