Project Title	Tumor Type	Administering  IC	Application ID	Project Number	Type	Activity	IC	Serial Number	Support Year	Suffix	Subproject Number 	Contact PI  Person ID	Contact PI / Project Leader	PI Trim	MemberID	Other PI or Project Leader(s)	Organization Name	ARRA Indicator	FY	FY Total Cost 	FY Total Cost  (Sub Projects)	FY Total
CORE E: XENOGRAFTING		NIDDK	8066126	2P30DK056465-12	2	P30	DK	56465	12		5480	1876467	BERNSTEIN, IRWIN D.	BERNSTEIN, IRWIN D.		Not Applicable	Fred Hutch	 	2010		136023	136023
NOTCH EFFECTS ON HEMATOPOIETIC REPOPULATING CELLS		NHLBI	7862594	5R01HL080245-05	5	R01	HL	80245	5			1876467	BERNSTEIN, IRWIN D.	BERNSTEIN, IRWIN D.		Not Applicable	Fred Hutch	 	2010	419958		419958
CELL FATE BY NOTCH LIGANDS		NHLBI	8069563	5P01HL084205-04	5	P01	HL	84205	4		1	1876467	BERNSTEIN, IRWIN D.	BERNSTEIN, IRWIN D.		Not Applicable	Fred Hutch	 	2010		476734	476734
CORE--CELL SEPARATION AND QUANTATIVE TRANSPLANTATION		NHLBI	8069566	5P01HL084205-04	5	P01	HL	84205	4		9001	1876467	BERNSTEIN, IRWIN D.	BERNSTEIN, IRWIN D.		Not Applicable	Fred Hutch	 	2010		462013	462013
CORE A: ADMINSTRATION CORE		NHLBI	8069567	5P01HL084205-04	5	P01	HL	84205	4		9002	1876467	BERNSTEIN, IRWIN D.	BERNSTEIN, IRWIN D.		Not Applicable	Fred Hutch	 	2010		70649	70649
MOLECULAR CONTROL OF HEMATOPOIETIC STEM CELL FATE		NHLBI	7848324	5P01HL084205-04	5	P01	HL	84205	4			1876467	BERNSTEIN, IRWIN D.	BERNSTEIN, IRWIN D.		Not Applicable	Fred Hutch	 	2010	1925759		1925759
EXPANSION OF CARDIAC AND HEMATOPOIETIC PREGENITORS BY WNT AND NOTCH		NHLBI	7939768	5U01HL100395-02	5	U01	HL	100395	2			1876467	BERNSTEIN, IRWIN D. 	BERNSTEIN, IRWIN D.		MOON, RANDALL TODD	Fred Hutch	 	2010	1197348		1197348
MECHANISMS OF ENVIRONMENTAL AND NUCLEAR AND MITOCHONDRIAL MUTAGENESIS		NIEHS	7985127	1R01ES019319-01	1	R01	ES	19319	1			8962560	BIELAS, JASON H.	BIELAS, JASON H.		Not Applicable	Fred Hutch	 	2010	597220		597220
REGULATION OF CHROMOSOME SEGREGATION		NIGMS	7907596	5R01GM064386-09	5	R01	GM	64386	9			1882250	BIGGINS, SUSAN 	BIGGINS, SUSAN		Not Applicable	Fred Hutch	 	2010	316122		316122
REGULATION OF CENTROMERIC CHROMATIN		NIGMS	7740868	5R01GM078069-03	5	R01	GM	78069	3			1882250	BIGGINS, SUSAN 	BIGGINS, SUSAN		Not Applicable	Fred Hutch	 	2010	307382		307382
DEFINING IMMUNE DEFICITS IN HIV-1 INFECTED WOMEN		NIAID	7766258	5K08AI068424-05	5	K08	AI	68424	5			1900613	BLISH, CATHERINE A	BLISH, CATHERINE A		Not Applicable	Fred Hutch	 	2010	123660		123660
BARRETT'S COHORT MANAGEMENT AND SAFETY		NCI	8100332	5P01CA091955-09	5	P01	CA	91955	9		9004	7355051	BLOUNT, PATRICIA L	BLOUNT, PATRICIA L		Not Applicable	Fred Hutch	 	2010		807406	807406
MICROBIOLOGY AND VIROLOGY CORE		NCI	8073195	5P01CA018029-35	5	P01	CA	18029	35		9014	9253407	BOECKH, MICHAEL J	BOECKH, MICHAEL J		Not Applicable	Fred Hutch	 	2010		262461	262461
INFECTIONS IN HEMATOPOIETIC CELL TRANSPLANT RECIPIENTS		NHLBI	7924570	5K24HL093294-02	5	K24	HL	93294	2			7746372	BOECKH, MICHAEL J	BOECKH, MICHAEL J		Not Applicable	Fred Hutch	 	2010	181681		181681
A RANDOMZIED PHASE II TRIAL OF CMV PREVENTION IN ACUTE LUNG INJURY		NHLBI	7882755	1U01HL102547-01	1	U01	HL	102547	1			7746372	BOECKH, MICHAEL J 	BOECKH, MICHAEL J		LIMAYE, ABHIJIT PRAKASH;RUBENFELD, GORDON D	Fred Hutch	 	2010	1240314		1240314
PREDICTING PROTEIN-DNA INTERACTIONS WITH STRUCTURAL MODELS		NIGMS	7910393	5R01GM088277-02	5	R01	GM	88277	2			7003267	BRADLEY, PHILIP 	BRADLEY, PHILIP		Not Applicable	Fred Hutch	 	2010	329314		329314
CELL CYCLE REGULATION OF THE YEAST HO GENE		NIGMS	7791281	5R01GM041073-21	5	R01	GM	41073	21			1880321	BREEDEN, LINDA L.	BREEDEN, LINDA L.		Not Applicable	Fred Hutch	 	2010	619793		619793
LATE EFFECTS OF TREATMENT IN WILMS TUMOR SURVIVORS AND OFFSPRING		NCI	7753920	5R01CA054498-19	5	R01	CA	54498	19			1879192	BRESLOW, NORMAN E	BRESLOW, NORMAN E		Not Applicable	Fred Hutch	 	2010	1041309		1041309
ACCEPTANCE & COMMITMENT THERAPY FOR SMOKING CESSATION		NCI	7942479	1R01CA151251-01	1	R01	CA	151251	1			7905616	BRICKER, JONATHAN B.	BRICKER, JONATHAN B.		Not Applicable	Fred Hutch	 	2010	711208		711208
MOLECULAR MECHANISMS OF OLFACTION IN MAMMALS		NIDCD	7727381	5R01DC009324-03	5	R01	DC	9324	3			1946339	BUCK, LINDA B	BUCK, LINDA B		Not Applicable	Fred Hutch	 	2010	370260		370260
NONMYELOABLATIVE ALLOGRAFTING FOR IMMUNODEFICIENCY & OTHER NONMALIGNANT DISORDERS		NHLBI	7799046	5K23HL085288-04	5	K23	HL	85288	4			7719909	BURROUGHS, LAURI M.	BURROUGHS, LAURI M.		Not Applicable	Fred Hutch	 	2010	136485		136485
MECHANISMS CONTROLLING CELL CYCLE EXIT UPON TERMINAL DIFFERENTIATION		NIGMS	7741206	5K99GM086517-02	5	K99	GM	86517	2			7983054	BUTTITTA, LAURA A	BUTTITTA, LAURA A		Not Applicable	Fred Hutch	 	2010	90000		90000
GENETICS		NCI	7881275	1P50CA148143-01	1	P50	CA	148143	1		6190	8512041	CARLSON, CHRISTOPHER S	CARLSON, CHRISTOPHER S		Not Applicable	Fred Hutch	 	2010		2661	2661
ASSESSING THE IMPACT OF RARE POLYMORPHISM AT CRP ON CRP LEVELS & ATHEROSCLEROSIS		NHLBI	7777325	5R01HL088531-03	5	R01	HL	88531	3			8512041	CARLSON, CHRISTOPHER S	CARLSON, CHRISTOPHER S		Not Applicable	Fred Hutch	 	2010	440000		440000
IMPACT OF HIV AND HHV-8 CO-INFECTION ON ANTIRETROVIRAL THERAPY EFFICACY IN AFRICA		NCI	7838081	1R01CA138165-01A2	1	R01	CA	138165	1	A2		7087903	CASPER, COREY 	CASPER, COREY		Not Applicable	Fred Hutch	 	2010	346681		346681
BUILDING SUSTAINABLE TRANSLATIONAL RESEARCH TEAMS IN HIV-ASSOCIATED MALIGNANCIES		NCI	8009658	1D43CA153720-01	1	D43	CA	153720	1			7087903	CASPER, COREY 	CASPER, COREY		Not Applicable	Fred Hutch	 	2010	537636		537636
PILOT PROJECT		NCI	8034120	1U54CA153502-01	1	U54	CA	153502	1		7873	7706911	CEBALLOS, RACHEL M	CEBALLOS, RACHEL M		Not Applicable	Fred Hutch	 	2010		64481	64481
CANCER IMMUNOTHERAPY TRIALS NETWORK CENTRAL OPERATIONS AND STATISTICAL CENTER		NCI	8034073	1U01CA154967-01	1	U01	CA	154967	1			9462955	CHEEVER, MARTIN ALEXANDER	CHEEVER, MARTIN ALEXANDER		Not Applicable	Fred Hutch	 	2010	1523677		1523677
ORAL CANCER: MOLECULAR PROFILES & CLINICAL OUTCOMES		NCI	7911812	5R01CA095419-07	5	R01	CA	95419	7			6564729	CHEN, CHU 	CHEN, CHU		Not Applicable	Fred Hutch	YES	2010	976944		976944
MOLECULAR EPIDEMIOLOGY OF LUNG CANCER		NCI	7937984	5R01CA111703-05	5	R01	CA	111703	5			6564729	CHEN, CHU 	CHEN, CHU		Not Applicable	Fred Hutch	 	2010	386463		386463
STATISTICAL METHODS IN HIV/AIDS RESEARCH		NIAID	8012800	1R01AI089341-01A1	1	R01	AI	89341	1	A1		6713521	CHEN, YING QING	CHEN, YING QING		Not Applicable	Fred Hutch	 	2010	443292		443292
BIOMARKERS AND TARGETED THERAPY OF BRONCHIOLITIS OBLITERANS		NIAID	8134955	5U54AI083028-02	5	U54	AI	83028	2		8521	6787292	CHIEN, JASON W	CHIEN, JASON W		Not Applicable	Fred Hutch	 	2010		259347	259347
GENETIC ANALYSIS OF AIRFLOW OBSTRUCTION AFTER STEM CELL TRANSPLANTATION		NHLBI	7842531	5R01HL088201-03	5	R01	HL	88201	3			1876459	CLARK, JOAN G.	CLARK, JOAN G.		Not Applicable	Fred Hutch	 	2010	440000		440000
EPITHELIAL CELL BACTERCIDAL/PERMEABILITY INCREASING PROTEIN IN LUNG INJURY		NHLBI	7844981	5R21HL091246-02	5	R21	HL	91246	2			1876459	CLARK, JOAN G.	CLARK, JOAN G.		Not Applicable	Fred Hutch	YES	2010	264000		264000
TUMOR SUPPRESSION BY THE FBW7 UBIQUITIN LIGASE		NCI	7986202	2R01CA084069-11A1	2	R01	CA	84069	11	A1		1883974	CLURMAN, BRUCE E	CLURMAN, BRUCE E		Not Applicable	Fred Hutch	 	2010	365258		365258
NORMAL AND NEOPLASTIC REGULATION OF CYCLIN E		NCI	7750620	5R01CA102742-07	5	R01	CA	102742	7			1883974	CLURMAN, BRUCE E	CLURMAN, BRUCE E		Not Applicable	Fred Hutch	 	2010	382446		382446
CELL PROLIFERATION AND DIFFERENTIATION BY THE FBW 7 TUMOR SUPPRESSOR		NHLBI	8069565	5P01HL084205-04	5	P01	HL	84205	4		3	1883974	CLURMAN, BRUCE E	CLURMAN, BRUCE E		Not Applicable	Fred Hutch	 	2010		451148	451148
CAREER AND MENTORING DEVELOPMENT PROGRAM		NCI	8077363	5P50CA083636-12	5	P50	CA	83636	12		7974	1955371	COLLINS, STEVEN COLLINS 	COLLINS, STEVEN COLLINS		URBAN, NICOLE DENISE	Fred Hutch	 	2010		68164	68164
CHROMOSOME METABOLISM AND CANCER TRAINING GRANT		NCI	7799215	5T32CA009657-20	5	T32	CA	9657	20			1888671	COOPER, JONATHAN A.	COOPER, JONATHAN A.		Not Applicable	Fred Hutch	 	2010	265390		265390
SRC FAMILY KINASES AND CELL GROWTH REGULATION		NCI	7743587	5R01CA041072-25	5	R01	CA	41072	25			1888671	COOPER, JONATHAN A.	COOPER, JONATHAN A.		Not Applicable	Fred Hutch	 	2010	567636		567636
FUNCTIONS AND MECHANISMS OF THE ENDOCYTIC ADAPTOR DAB2		NIGMS	7846799	5R01GM066257-07	5	R01	GM	66257	7			1888671	COOPER, JONATHAN A.	COOPER, JONATHAN A.		Not Applicable	Fred Hutch	 	2010	414691		414691
MECHANISMS OF REACTIVATION AND CLEARANCE OF MUCOSAL HSV INFECTION		NIAID	8130903	5P01AI030731-20	5	P01	AI	30731	20		8	1860045	COREY, LAWRENCE 	COREY, LAWRENCE		Not Applicable	Fred Hutch	 	2010		604504	604504
LABORATORY CORE		NIAID	8130907	5P01AI030731-20	5	P01	AI	30731	20		9005	1860045	COREY, LAWRENCE 	COREY, LAWRENCE		Not Applicable	Fred Hutch	 	2010		652739	652739
ADMINISTRATIVE CORE		NIAID	8130909	5P01AI030731-20	5	P01	AI	30731	20		9007	1860045	COREY, LAWRENCE 	COREY, LAWRENCE		Not Applicable	Fred Hutch	 	2010		98834	98834
CYTOTOXIC T-CELL RESPONSES TO HSV: HIV-INFECTED PERSONS		NIAID	8100631	3R37AI042528-13S1	3	R37	AI	42528	13	S1		1860045	COREY, LAWRENCE 	COREY, LAWRENCE		Not Applicable	Fred Hutch	 	2010	54810		54810
CYTOTOXIC T-CELL RESPONSES TO HSV: HIV-INFECTED PERSONS		NIAID	7780436	5R37AI042528-13	5	R37	AI	42528	13			1860045	COREY, LAWRENCE 	COREY, LAWRENCE		Not Applicable	Fred Hutch	 	2010	320011		320011
LEADERSHIP GROUP FOR A GLOBAL HIV VACCINE CLINICAL TRIALS NETWORK		NIAID	7904121	5U01AI068614-05	5	U01	AI	68614	5			1860045	COREY, LAWRENCE 	COREY, LAWRENCE		Not Applicable	Fred Hutch	 	2010	21443783		21443783
LEADERSHIP GROUP FOR A GLOBAL HIV VACCINE CLINICAL TRIALS NETWORK		NIAID	8048350	3U01AI068614-04S1	3	U01	AI	68614	4	S1		1860045	COREY, LAWRENCE 	COREY, LAWRENCE		Not Applicable	Fred Hutch	YES	2010	2000000		2000000
SCREENING MAMMOGRAPHY AND LATINAS: A MULTILEVEL INTERVENTION		NCI	7881263	1P50CA148143-01	1	P50	CA	148143	1		6183	1953872	CORONADO, GLORIA D	CORONADO, GLORIA D		Not Applicable	Fred Hutch	 	2010		990515	990515
RESEARCH PROJECT		NCI	8034118	1U54CA153502-01	1	U54	CA	153502	1		7872	1953872	CORONADO, GLORIA D	CORONADO, GLORIA D		Not Applicable	Fred Hutch	 	2010		482863	482863
SOUTHWEST ONCOLOGY GROUP STATISTICAL CENTER		NCI	7766722	2U10CA038926-25	2	U10	CA	38926	25			1884476	CROWLEY, JOHN J	CROWLEY, JOHN J		Not Applicable	Fred Hutch	 	2010	4749326		4749326
EPIDEMIOLOGY OF HPV-RELATED SCSC IN TRANSPLANT PATIENTS		NCI	8118868	5P01CA042792-22	5	P01	CA	42792	22		8	1885806	DALING, JANET R	DALING, JANET R		Not Applicable	Fred Hutch	 	2010		732085	732085
NIGHT SHIFT WORK AND HORMONE LEVELS IN MEN		NCI	7924720	5R01CA116400-04	5	R01	CA	116400	4			1880463	DAVIS, SCOTT 	DAVIS, SCOTT		Not Applicable	Fred Hutch	 	2010	841297		841297
BREAST CANCER RISK AND MOLECULAR CHANGE AFTER CHERNOBYL		NCI	7903911	5R01CA118914-04	5	R01	CA	118914	4			1880463	DAVIS, SCOTT 	DAVIS, SCOTT		Not Applicable	Fred Hutch	 	2010	235007		235007
ROLE OF AIR POLLUTION IN RHEUMATOID ARTHRITIS INCIDENCE AND EXACERBATION		NIAMS	7875937	1R03AR056818-01A1	1	R03	AR	56818	1	A1		1900926	DE ROOS, ANNECLAIRE J	DE ROOS, ANNECLAIRE J		Not Applicable	Fred Hutch	 	2010	88000		88000
A NEW EPIGENOME PROFILING METHOD FOR THE STUDY OF CELL FATE SPECIFICATION		NIGMS	7752859	5F32GM083449-03	5	F32	GM	83449	3			7308887	DEAL, ROGER BANCROFT	DEAL, ROGER BANCROFT		Not Applicable	Fred Hutch	 	2010	52154		52154
ALLOGENEIC HEMATOPOIETIC CELL TRANSPLANTATION FOR MYELODYSPLASTIC SYNDROMES		NHLBI	8131710	5P01HL036444-30	5	P01	HL	36444	30		16	1895223	DEEG, H. JOACHIM	DEEG, H. JOACHIM		Not Applicable	Fred Hutch	 	2010		164827	164827
HEMATOPOIETIC CELL TRANSPLANTATION AND IRON OVERLOAD		NHLBI	7888104	1R01HL095999-01A1	1	R01	HL	95999	1	A1		1895223	DEEG, H. JOACHIM	DEEG, H. JOACHIM		Not Applicable	Fred Hutch	 	2010	461487		461487
CTRIP:NOTCH-MEDIATED EXPANSION OF CORD BLOOD PROGENITORS FOR CORD BLOOD TRANSPLAN		NHLBI	7939787	5RC2HL101844-02	5	RC2	HL	101844	2			6671989	DELANEY, COLLEEN 	DELANEY, COLLEEN		Not Applicable	Fred Hutch	YES	2010	1732054		1732054
VACCINATING AGAINST IGFBP-2 TO PREVENT OVARIAN CANCER RELAPSE		NCI	8077357	5P50CA083636-12	5	P50	CA	83636	12		7968	1877623	DISIS, MARY L. 	DISIS, MARY L.		SALAZAR, LUPE G;SWENSEN, RONALD 	Fred Hutch	 	2010		369911	369911
THE TIME DISTRIBUTION METHOD FOR MEASURING CLINICALLY VALID QUALITY OF LIFE STATE		NCI	7842664	5R21CA131651-02	5	R21	CA	131651	2			8702416	DONALDSON, GARY W.	DONALDSON, GARY W.		Not Applicable	Fred Hutch	YES	2010	255682		255682
LEADERSHIP FOR HIV/AIDS CLINICAL TRIALS NETWORKS; HIV PREVENTION TRIALS NETWORK		NIAID	7900410	5U01AI068617-05	5	U01	AI	68617	5			8589306	DONNELL, DEBORAH J	DONNELL, DEBORAH J		Not Applicable	Fred Hutch	 	2010	4752947		4752947
DNA EXCHANGE DURING STOMACH COLONIZATION BY HELICOBACTER PYLORI		NIDDK	7753208	5K01DK080894-03	5	K01	DK	80894	3			2084417	DORER, MARION SHONN	DORER, MARION SHONN		Not Applicable	Fred Hutch	 	2010	102604		102604
GENETIC AND BIOCHEMICAL ANALYSIS OF DNA EXCHANGE IN HELICOBACTER PYLORI		NIDDK	8028833	1R03DK090194-01	1	R03	DK	90194	1			2084417	DORER, MARION SHONN	DORER, MARION SHONN		Not Applicable	Fred Hutch	 	2010	32342		32342
TARGETED MICROBUBBLE CONTRAST-ENHANCED ULTRASOUND IMAGING OF THE OVARIAN CANCER V		NCI	8077354	5P50CA083636-12	5	P50	CA	83636	12		7965	6523545	DRESCHER, CHARLES  	DRESCHER, CHARLES		GAMBHIR, SANJIV S	Fred Hutch	 	2010		279066	279066
PARTICIPANT RECRUITMENT; ENROLLMENT AND CHARACTERIZATION CORE		NCI	8077360	5P50CA083636-12	5	P50	CA	83636	12		7971	6523545	DRESCHER, CHARLES 	DRESCHER, CHARLES		Not Applicable	Fred Hutch	 	2010		264325	264325
IMMUNIZATION OF ORAL MUCOSA FOR INDUCTION OF RECTAL AND GENITAL MUCOSAL IMMUNITY		NIDCR	7848275	5R01DE019063-03	5	R01	DE	19063	3			2068561	DUERR, ANN C	DUERR, ANN C		Not Applicable	Fred Hutch	 	2010	523120		523120
REGULATION OF CELL GROWTH AND PROLIFERATION BY MYC		NCI	7781554	2R01CA020525-34	2	R01	CA	20525	34			1877681	EISENMAN, ROBERT NEIL	EISENMAN, ROBERT NEIL		Not Applicable	Fred Hutch	 	2010	598409		598409
MYC ONCOPROTEIN FUNCTION		NCI	7880246	5R37CA057138-20	5	R37	CA	57138	20			1877681	EISENMAN, ROBERT NEIL	EISENMAN, ROBERT NEIL		Not Applicable	Fred Hutch	 	2010	853968		853968
TRANSCRIPTION FACTORS IN STEM CELL SELF-RENEWAL AND DIFFERENTATION		NHLBI	8069564	5P01HL084205-04	5	P01	HL	84205	4		2	1877681	EISENMAN, ROBERT NEIL	EISENMAN, ROBERT NEIL		Not Applicable	Fred Hutch	 	2010		465215	465215
GROWTH REGULATORY TARGETS OF THE TUBEROUS SCLEROSIS COMPLEX		NINDS	7848110	5R01NS058230-05	5	R01	NS	58230	5			1877681	EISENMAN, ROBERT NEIL	EISENMAN, ROBERT NEIL		Not Applicable	Fred Hutch	 	2010	374182		374182
EVOLUTIONARY POTENTIAL OF A MODEL POXVIRUS		NIGMS	7774539	1K99GM090042-01	1	K99	GM	90042	1			6135986	ELDE, NELS C.	ELDE, NELS C.		Not Applicable	Fred Hutch	 	2010	90000		90000
HIV HOST-CELL INTERACTIONS		NIAID	7805629	5R37AI030927-20	5	R37	AI	30927	20			1891728	EMERMAN, MICHAEL 	EMERMAN, MICHAEL		Not Applicable	Fred Hutch	 	2010	509259		509259
HIV INFECTION OF NON-DIVIDING CELLS		NIAID	7879997	5R01AI073085-04	5	R01	AI	73085	4			1891728	EMERMAN, MICHAEL 	EMERMAN, MICHAEL		Not Applicable	Fred Hutch	 	2010	294027		294027
BIOSTATISTICS		NCI	8130554	5P50CA097186-09	5	P50	CA	97186	9		9002	9257679	ETZIONI, RUTH D	ETZIONI, RUTH D		Not Applicable	Fred Hutch	 	2010		137496	137496
OUTCOMES BASED GUIDELINE DEVELOPMENT FOR PROSTATE CANCER SCREENING AND TREATMENT		NCI	7906848	5R01CA131874-03	5	R01	CA	131874	3			1883893	ETZIONI, RUTH D	ETZIONI, RUTH D		Not Applicable	Fred Hutch	 	2010	275094		275094
CANTRANCE: A  TOOL TO TRANSLATE INTERMEDIATE ENDPOINTS TO MORTALITY IN CE STUDIES		NCI	8037229	1RC4CA155806-01	1	RC4	CA	155806	1			1883893	ETZIONI, RUTH D	ETZIONI, RUTH D		Not Applicable	Fred Hutch	YES	2010	1091952		1091952
MODELING PROSTATE CANCER CONTROL: PREVENTION; SCREENING; TREATMENT; FOLLOWUP CARE		NCI	7984740	1U01CA157224-01	1	U01	CA	157224	1			1883893	ETZIONI, RUTH D 	ETZIONI, RUTH D		DE KONING, HARRY ;TSODIKOV, ALEXANDER 	Fred Hutch	 	2010	1002475		1002475
STATISTICAL METHODS FOR BIOMARKER DISCOVERY; EVALUATION; AND VALIDATION		NCI	8103027	5P01CA053996-33	5	P01	CA	53996	33		5	2110020	FENG, ZIDING 	FENG, ZIDING		Not Applicable	Fred Hutch	 	2010		192211	192211
EARLY DETECTION RESEARCH NETWORK: DATA MANAGEMENT AND COORDINATING CENTER		NCI	7983049	2U24CA086368-11	2	U24	CA	86368	11			2110020	FENG, ZIDING 	FENG, ZIDING		Not Applicable	Fred Hutch	 	2010	2000000		2000000
EDRN:DATA MANAGEMENT AND COORDINATING CENTER		NCI	8037425	3U01CA086368-10S1	3	U01	CA	86368	10	S1		2110020	FENG, ZIDING 	FENG, ZIDING		Not Applicable	Fred Hutch	 	2010	667000		667000
ROLE OF CTCF IN CHROMATIN AND NUCLEAR ORGANIZATION AT THE FSHD 4QD4Z4LOCUS		NINDS	7899370	1P01NS069539-01	1	P01	NS	69539	1		6884	3131937	FILIPPOVA, GALINA N	FILIPPOVA, GALINA N		Not Applicable	Fred Hutch	 	2010		289506	289506
ROLE OF CTL AVIDITY IN EPITOPE VARIANT RECOGNITION AND IMMUNE CONTROL OF HIV		NIAID	7911835	5R21AI078809-02	5	R21	AI	78809	2			8517718	FRAHM, NICOLE 	FRAHM, NICOLE		Not Applicable	Fred Hutch	YES	2010	220000		220000
THE ROLE OF UNCULTIVATED BACTERIA IN BACTERIAL VAGINOSIS		NIAID	7743046	5R01AI061628-05	5	R01	AI	61628	5			1888993	FREDRICKS, DAVID NEAL	FREDRICKS, DAVID NEAL		Not Applicable	Fred Hutch	 	2010	463235		463235
NOVEL CULTIVATION METHODS FOR THE DOMESTICATION OF VAGINAL BACTERIA		NHGRI	7931855	1R01HG005816-01	1	R01	HG	5816	1			1888993	FREDRICKS, DAVID NEAL	FREDRICKS, DAVID NEAL		Not Applicable	Fred Hutch	 	2010	689520		689520
NOVEL COMPUTATIONAL TOOLS FOR STUDYING THE HUMAN MICROBIOME		NHGRI	8020862	1R01HG005966-01	1	R01	HG	5966	1			1888993	FREDRICKS, DAVID NEAL 	FREDRICKS, DAVID NEAL		MATSEN, FREDERICK ALBERT	Fred Hutch	 	2010	533722		533722
ETHICS AND POLICY		NCI	7881274	1P50CA148143-01	1	P50	CA	148143	1		6189	8491201	FULLERTON, STEPHANIE M	FULLERTON, STEPHANIE M		Not Applicable	Fred Hutch	 	2010		79538	79538
HPV CAPSID ANTIBODIES		NIAID	7781351	2R01AI038382-17	2	R01	AI	38382	17			1863891	GALLOWAY, DENISE A.	GALLOWAY, DENISE A.		Not Applicable	Fred Hutch	 	2010	405044		405044
MOLECULAR MECHANISMS OF GENUS BETA E6 AND E7 PROTEINS		NCI	8118869	5P01CA042792-22	5	P01	CA	42792	22		9	1863891	GALLOWAY, DENISE A.	GALLOWAY, DENISE A.		Not Applicable	Fred Hutch	 	2010		430239	430239
MOLECULAR BIOLOGY		NCI	8118871	5P01CA042792-22	5	P01	CA	42792	22		9001	1863891	GALLOWAY, DENISE A.	GALLOWAY, DENISE A.		Not Applicable	Fred Hutch	 	2010		367073	367073
HPV: BIOLOGY; CLINICAL SIGNIFICANCE AND EPIDEMIOLOGY		NCI	7883494	5P01CA042792-22	5	P01	CA	42792	22			1863891	GALLOWAY, DENISE A.	GALLOWAY, DENISE A.		Not Applicable	Fred Hutch	 	2010	2278913		2278913
P-2:  THE EFFECT OF RAD ON ANDROGEN RECEPTOR EXPRESSION AND ACTIVITY IN PROSTATE		NCI	8130547	5P50CA097186-09	5	P50	CA	97186	9		2	9257660	GARZOTTO, MARK 	GARZOTTO, MARK		Not Applicable	Fred Hutch	 	2010		297580	297580
TRANSLATIONAL CONTROL OF CYTOMEGALOVIRUS GENE EXPRESSION		NIAID	7793554	5R01AI026672-21	5	R01	AI	26672	21			1896963	GEBALLE, ADAM P.	GEBALLE, ADAM P.		Not Applicable	Fred Hutch	 	2010	428072		428072
RADIATION DOSE-DEPENDENT INTERVENTIONS		NIAID	8070901	3U19AI067770-05S2	3	U19	AI	67770	5	S2		1890311	GEORGES, GEORGE EARL	GEORGES, GEORGE EARL		Not Applicable	Fred Hutch	YES	2010	11616		11616
